title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized
Love Of A Woman,Travis Tritt,39,20,2001,,travis tritt,
The Long Goodbye,Brooks & Dunn,39,20,2001,,brooks,brooks & dunn
The Long Goodbye,Brooks & Dunn,39,20,2001,,dunn,brooks & dunn
This Is Me,Dream,39,20,2001,,dream,
I Cry,Ja Rule,40,14,2001,Ja Rule Featuring Lil' Mo,ja rule,
I Cry,Lil' Mo,40,14,2001,Ja Rule Featuring Lil' Mo,lil' mo,
Alive,P.O.D.,41,20,2001,,p.o.d.,
Flavor Of The Weak,American Hi-Fi,41,20,2001,,american hi-fi,
Free,Mya,42,16,2001,,mya,
Right Where I Need To Be,Gary Allan,42,20,2001,,gary allan,
A Long Walk,Jill Scott,43,19,2001,,jill scott,
After Party,Koffee Brown,44,20,2001,,koffee brown,
Every Other Time,LFO,44,18,2001,,lfo,
I Would've Loved You Anyway,Trisha Yearwood,44,20,2001,,trisha yearwood,
I'm Tryin',Trace Adkins,44,20,2001,,trace adkins,
Mrs. Steven Rudy,Mark McGuinn,44,15,2001,,mark mcguinn,
Take Away,"Missy ""Misdemeanor"" Elliott",45,20,2001,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",missy 'misdemeanor' elliott,
Take Away,Ginuwine & Tweet,45,20,2001,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",ginuwine,ginuwine & tweet
Take Away,Ginuwine & Tweet,45,20,2001,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",tweet,ginuwine & tweet
Downtime,Jo Dee Messina,46,15,2001,,jo dee messina,
Wrapped Up In You,Garth Brooks,46,20,2001,,garth brooks,
On A Night Like This,Trick Pony,47,20,2001,,trick pony,
Video,India.Arie,47,31,2001,,india.arie,
Who's That Girl?,Eve,47,18,2001,,eve,
I Like Them Girls,Tyrese,48,19,2001,,tyrese,
Mad Season,matchbox twenty,48,20,2001,,matchbox twenty,
Yellow,Coldplay,48,20,2001,,coldplay,
"Baby, Come Over (This Is Our Night)",Samantha Mumba,49,17,2001,,samantha mumba,
I'm A Survivor,Reba,49,19,2001,,reba,
Lay Low,Snoop Dogg,50,19,2001,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",snoop dogg,
Lay Low,"Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",50,19,2001,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz","master p, nate dogg, butch cassidy & tha eastsidaz",
Take It To Da House,Trick Daddy,50,20,2001,Trick Daddy Featuring The SNS Express,trick daddy,
Take It To Da House,The SNS Express,50,20,2001,Trick Daddy Featuring The SNS Express,the sns express,
If You Can Do Anything Else,George Strait,51,18,2001,,george strait,
Love Of My Life,Brian McKnight,51,20,2001,,brian mcknight,
Two People Fell In Love,Brad Paisley,51,18,2001,,brad paisley,
Brotha,Angie Stone,52,20,2001,,angie stone,
Just In Case,Jaheim,52,20,2001,,jaheim,
Stuck In A Moment You Can't Get Out Of,U2,52,20,2001,,u2,
The Call,Backstreet Boys,52,6,2001,,backstreet boys,
Until The End Of Time,2Pac,52,14,2001,,2pac,
When Somebody Loves You,Alan Jackson,52,17,2001,,alan jackson,
Can't Believe,Faith Evans,56,20,2001,Faith Evans Featuring Carl Thomas,faith evans,
Can't Believe,Carl Thomas,56,20,2001,Faith Evans Featuring Carl Thomas,carl thomas,
Outside,Aaron Lewis Of Staind,56,19,2001,Aaron Lewis Of Staind With Fred Durst,aaron lewis of staind,
Outside,Fred Durst,56,19,2001,Aaron Lewis Of Staind With Fred Durst,fred durst,
Six-Pack Summer,Phil Vassar,56,10,2001,,phil vassar,
Clint Eastwood,Gorillaz,57,11,2001,,gorillaz,
Thank You For Loving Me,Bon Jovi,57,10,2001,,bon jovi,
Best I Ever Had (Grey Sky Morning),Vertical Horizon,58,16,2001,,vertical horizon,
Don't Talk,Jon B,58,14,2001,,jon b,
Goodbye,Jagged Edge,58,15,2001,,jagged edge,
Look At Us,Sarina Paris,59,20,2001,,sarina paris,
She Misses Him,Tim Rushlow,59,11,2001,,tim rushlow,
So Complicated,Carolyn Dawn Johnson,59,17,2001,,carolyn dawn johnson,
We Need A Resolution,Aaliyah,59,16,2001,Aaliyah Featuring Timbaland,aaliyah,
We Need A Resolution,Timbaland,59,16,2001,Aaliyah Featuring Timbaland,timbaland,
Laredo,Chris Cagle,60,12,2001,,chris cagle,
The Way,Jill Scott,60,20,2001,,jill scott,
While You Loved Me,Rascal Flatts,60,12,2001,,rascal flatts,
Who We Be,DMX,60,12,2001,,dmx,
Wish You Were Here,Incubus,60,20,2001,,incubus,
One More Time,Daft Punk,61,16,2001,,daft punk,
Fade,Staind,62,17,2001,,staind,
Round And Round,Jonell,62,17,2001,Jonell & Method Man,jonell,
Round And Round,Method Man,62,17,2001,Jonell & Method Man,method man,
Ooohhhwee,Master P,63,11,2001,Master P Featuring Weebie,master p,
Ooohhhwee,Weebie,63,11,2001,Master P Featuring Weebie,weebie,
Request Line,The Black Eyed Peas,63,8,2001,The Black Eyed Peas Featuring Macy Gray,the black eyed peas,
Request Line,Macy Gray,63,8,2001,The Black Eyed Peas Featuring Macy Gray,macy gray,
What It Is,Violator,63,14,2001,Violator Featuring Busta Rhymes,violator,
What It Is,Busta Rhymes,63,14,2001,Violator Featuring Busta Rhymes,busta rhymes,
With Me,Lonestar,63,15,2001,,lonestar,
Bad Day,Fuel,64,20,2001,,fuel,
Just Another Girl,Monica,64,13,2001,,monica,
When God-Fearin' Women Get The Blues,Martina McBride,64,10,2001,,martina mcbride,
From Her Mama (Mama Got A**),Juvenile,65,15,2001,,juvenile,
Set It Off,Juvenile,65,15,2001,,juvenile,
Where Are You Christmas?,Faith Hill,65,1,2001,,faith hill,
Diddy,P. Diddy,66,9,2001,P. Diddy Featuring The Neptunes,p. diddy,
Diddy,The Neptunes,66,9,2001,P. Diddy Featuring The Neptunes,the neptunes,
Fat Lip,Sum 41,66,12,2001,,sum 41,
There It Is,Ginuwine,66,10,2001,,ginuwine,
Schism,Tool,67,20,2001,,tool,
Control,Puddle Of Mudd,68,20,2001,,puddle of mudd,
Let's Stay Home Tonight,Joe,68,12,2001,,joe,
Angel,Lionel Richie,70,18,2001,,lionel richie,
La Bomba,Azul Azul,70,20,2001,,azul azul,
I Did It,Dave Matthews Band,71,11,2001,,dave matthews band,
Pour Me,Trick Pony,71,14,2001,,trick pony,
Soul Sista,Bilal,71,14,2001,,bilal,
The Rock Show,Blink-182,71,9,2001,,blink-182,
What Am I Gonna Do,Tyrese,71,18,2001,,tyrese,
Part II,Method Man & Redman,72,12,2001,,method man,method man & redman
Part II,Method Man & Redman,72,12,2001,,redman,method man & redman
Angels In Waiting,Tammy Cochran,73,11,2001,,tammy cochran,
By Your Side,Sade,75,11,2001,,sade,
My Way,Limp Bizkit,75,14,2001,,limp bizkit,
One Step Closer,Linkin Park,75,17,2001,,linkin park,
Puppy Love,Lil Bow Wow,75,7,2001,Lil Bow Wow Featuring Jagged Edge,lil bow wow,
Puppy Love,Jagged Edge,75,7,2001,Lil Bow Wow Featuring Jagged Edge,jagged edge,
A Good Day To Run,Darryl Worley,76,9,2001,,darryl worley,
Snoop Dogg,Snoop Dogg,77,5,2001,,snoop dogg,
I'll Fly With You (L'amour Toujours),Gigi D'Agostino,78,13,2001,,gigi d'agostino,
Rose Bouquet,Phil Vassar,78,4,2001,,phil vassar,
Why They Call It Falling,Lee Ann Womack,78,7,2001,,lee ann womack,
Crawling,Linkin Park,79,20,2001,,linkin park,
Lucky 4 You (Tonight I'm Just Me),SHeDAISY,79,3,2001,,shedaisy,
Let's Get It,Three The... G. Dep,80,9,2001,"Three The... G. Dep, P. Diddy & Black Rob",three the... g. dep,
Let's Get It,P. Diddy,80,9,2001,"Three The... G. Dep, P. Diddy & Black Rob",p. diddy,
Let's Get It,Black Rob,80,9,2001,"Three The... G. Dep, P. Diddy & Black Rob",black rob,
What If,Babyface,80,15,2001,,babyface,
Everybody Doesn't,Amanda,81,6,2001,,amanda,
Lady (Hear Me Tonight),Modjo,81,19,2001,,modjo,
My Projects,Coo Coo Cal,81,9,2001,,coo coo cal,
Never Too Far/Hero Medley,Mariah Carey,81,3,2001,,mariah carey,
Playas Gon' Play,3LW,81,7,2001,,3lw,
Guilty Until Proven Innocent,Jay-Z,82,8,2001,Jay-Z Featuring R. Kelly,jay-z,
Guilty Until Proven Innocent,R. Kelly,82,8,2001,Jay-Z Featuring R. Kelly,r. kelly,
Cha-Cha Slide,Mr. C The Slide Man,83,10,2001,,mr. c the slide man,
Imitation Of Life,R.E.M.,83,5,2001,,r.e.m.,
Sandstorm,Darude,83,10,2001,,darude,
Do U Wanna Roll (Dolittle Theme),R.L.,84,16,2001,"R.L., Snoop Dogg & Lil' Kim",r.l.,
Do U Wanna Roll (Dolittle Theme),Snoop Dogg,84,16,2001,"R.L., Snoop Dogg & Lil' Kim",snoop dogg,
Do U Wanna Roll (Dolittle Theme),Lil' Kim,84,16,2001,"R.L., Snoop Dogg & Lil' Kim",lil' kim,
Dream On,Depeche Mode,85,10,2001,,depeche mode,
Girl Next Door,Musiq Soulchild,85,8,2001,Musiq Soulchild Featuring Ayana,musiq soulchild,
Girl Next Door,Ayana,85,8,2001,Musiq Soulchild Featuring Ayana,ayana,
Miss California,Dante Thomas,85,6,2001,Dante Thomas Featuring Pras,dante thomas,
Miss California,Pras,85,6,2001,Dante Thomas Featuring Pras,pras,
Change The Game,Jay-Z,86,14,2001,"Jay-Z, Beanie Sigel And Memphis Bleek",jay-z,
Change The Game,Beanie Sigel,86,14,2001,"Jay-Z, Beanie Sigel And Memphis Bleek",beanie sigel,
Change The Game,Memphis Bleek,86,14,2001,"Jay-Z, Beanie Sigel And Memphis Bleek",memphis bleek,
Too Little Too Late,Barenaked Ladies,86,4,2001,,barenaked ladies,
Chickenhead,Project Pat,87,12,2001,,project pat,
Fatty Girl,Ludacris,87,14,2001,"Ludacris, LL Cool J & Keith Murray",ludacris,
Fatty Girl,LL Cool J,87,14,2001,"Ludacris, LL Cool J & Keith Murray",ll cool j,
Fatty Girl,Keith Murray,87,14,2001,"Ludacris, LL Cool J & Keith Murray",keith murray,
Got Ur Self A...,Nas,87,19,2001,,nas,
Midwest Swing,St. Lunatics,88,5,2001,,st. lunatics,
Don't Mess With The Radio,Nivea,90,3,2001,,nivea,
Just A Baby Boy,Snoop Dogg,90,4,2001,Snoop Dogg Featuring Tyrese & Mr. Tan,snoop dogg,
Just A Baby Boy,Tyrese & Mr. Tan,90,4,2001,Snoop Dogg Featuring Tyrese & Mr. Tan,tyrese & mr. tan,
Castles In The Sky,Ian Van Dahl,91,10,2001,Ian Van Dahl Featuring Marsha,ian van dahl,
Castles In The Sky,Marsha,91,10,2001,Ian Van Dahl Featuring Marsha,marsha,
Ghetto Girls,Lil Bow Wow,91,4,2001,,lil bow wow,
Bouncing Off The Ceiling (Upside Down),A*Teens,93,3,2001,,a*teens,
Get Crunked Up,Iconz,93,5,2001,Iconz Featuring Tony Manshino,iconz,
Get Crunked Up,Tony Manshino,93,5,2001,Iconz Featuring Tony Manshino,tony manshino,
Bia' Bia',Lil Jon & The East Side Boyz,94,3,2001,"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",lil jon & the east side boyz,
Bia' Bia',"Ludacris, Too Short, Big Kap & Chyna Whyte",94,3,2001,"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte","ludacris, too short, big kap & chyna whyte",
You All Dat,Baha Men,94,4,2001,Baha Men With Imani Coppola,baha men,
You All Dat,Imani Coppola,94,4,2001,Baha Men With Imani Coppola,imani coppola,
Ballin' Out Of Control,Jermaine Dupri,95,5,2001,Jermaine Dupri Featuring Nate Dogg,jermaine dupri,
Ballin' Out Of Control,Nate Dogg,95,5,2001,Jermaine Dupri Featuring Nate Dogg,nate dogg,
John Doe,Public Announcement,95,3,2001,Public Announcement Featuring LeLe,public announcement,
John Doe,LeLe,95,3,2001,Public Announcement Featuring LeLe,lele,
Shine,Lil' Wayne,96,3,2001,"Lil' Wayne Featuring Baby, Mack 10 & Mickey",lil' wayne,
Shine,"Baby, Mack 10 & Mickey",96,3,2001,"Lil' Wayne Featuring Baby, Mack 10 & Mickey",baby,"baby, mack 10 & mickey"
Shine,"Baby, Mack 10 & Mickey",96,3,2001,"Lil' Wayne Featuring Baby, Mack 10 & Mickey",mack 10,"baby, mack 10 & mickey"
Shine,"Baby, Mack 10 & Mickey",96,3,2001,"Lil' Wayne Featuring Baby, Mack 10 & Mickey",mickey,"baby, mack 10 & mickey"
That's How I Beat Shaq,Aaron Carter,96,2,2001,,aaron carter,
Freedom,Paul McCartney,97,2,2001,,paul mccartney,
Let's Get Dirty (I Can't Get In Da Club),Redman,97,2,2001,Redman Featuring DJ Kool,redman,
Let's Get Dirty (I Can't Get In Da Club),DJ Kool,97,2,2001,Redman Featuring DJ Kool,dj kool,
Loaded,Ricky Martin,97,2,2001,,ricky martin,
Cross The Border,Philly's Most Wanted,98,5,2001,,philly's most wanted,
Georgia,Carolyn Dawn Johnson,98,5,2001,,carolyn dawn johnson,
God Bless America,Daniel Rodriguez,99,2,2001,,daniel rodriguez,
"Like, Wow!",Leslie Carter,99,1,2001,,leslie carter,
A Moment Like This,Kelly Clarkson,1,20,2002,,kelly clarkson,
All I Have,Jennifer Lopez,1,21,2002,Jennifer Lopez Featuring LL Cool J,jennifer lopez,
All I Have,LL Cool J,1,21,2002,Jennifer Lopez Featuring LL Cool J,ll cool j,
"Bump, Bump, Bump",B2K,1,22,2002,B2K & P. Diddy,b2k,
"Bump, Bump, Bump",P. Diddy,1,22,2002,B2K & P. Diddy,p. diddy,
Dilemma,Nelly,1,29,2002,Nelly Featuring Kelly Rowland,nelly,
Dilemma,Kelly Rowland,1,29,2002,Nelly Featuring Kelly Rowland,kelly rowland,
Foolish,Ashanti,1,32,2002,,ashanti,
Hot In Herre,Nelly,1,26,2002,,nelly,
Lose Yourself,Eminem,1,24,2002,,eminem,
Beautiful,Christina Aguilera,2,27,2002,,christina aguilera,
Complicated,Avril Lavigne,2,31,2002,,avril lavigne,
Gangsta Lovin',Eve,2,22,2002,Eve Featuring Alicia Keys,eve,
Gangsta Lovin',Alicia Keys,2,22,2002,Eve Featuring Alicia Keys,alicia keys,
I Need A Girl (Part One),P. Diddy,2,23,2002,P. Diddy Featuring Usher & Loon,p. diddy,
I Need A Girl (Part One),Usher & Loon,2,23,2002,P. Diddy Featuring Usher & Loon,usher,usher & loon
I Need A Girl (Part One),Usher & Loon,2,23,2002,P. Diddy Featuring Usher & Loon,loon,usher & loon
Ignition,R. Kelly,2,42,2002,,r. kelly,
Mesmerize,Ja Rule,2,20,2002,Ja Rule Featuring Ashanti,ja rule,
Mesmerize,Ashanti,2,20,2002,Ja Rule Featuring Ashanti,ashanti,
What's Luv?,Fat Joe,2,28,2002,Fat Joe Featuring Ashanti,fat joe,
What's Luv?,Ashanti,2,28,2002,Fat Joe Featuring Ashanti,ashanti,
Without Me,Eminem,2,20,2002,,eminem,
Work It,"Missy ""Misdemeanor"" Elliott",2,26,2002,,missy 'misdemeanor' elliott,
Air Force Ones,Nelly,3,20,2002,"Nelly Featuring Kyjuan, Ali & Murphy Lee",nelly,
Air Force Ones,"Kyjuan, Ali & Murphy Lee",3,20,2002,"Nelly Featuring Kyjuan, Ali & Murphy Lee","kyjuan, ali & murphy lee",
Cry Me A River,Justin Timberlake,3,20,2002,,justin timberlake,
Hero,Chad Kroeger,3,22,2002,Chad Kroeger Featuring Josey Scott,chad kroeger,
Hero,Josey Scott,3,22,2002,Chad Kroeger Featuring Josey Scott,josey scott,
Hey Ma,Cam'Ron,3,21,2002,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",cam'ron,
Hey Ma,"Juelz Santana, Freekey Zekey & Toya",3,21,2002,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya","juelz santana, freekey zekey & toya",
Jenny From The Block,Jennifer Lopez,3,20,2002,Jennifer Lopez Featuring Styles & Jadakiss,jennifer lopez,
Jenny From The Block,Styles & Jadakiss,3,20,2002,Jennifer Lopez Featuring Styles & Jadakiss,styles,styles & jadakiss
Jenny From The Block,Styles & Jadakiss,3,20,2002,Jennifer Lopez Featuring Styles & Jadakiss,jadakiss,styles & jadakiss
Miss You,Aaliyah,3,30,2002,,aaliyah,
U Don't Have To Call,Usher,3,26,2002,,usher,
Underneath It All,No Doubt,3,30,2002,No Doubt Featuring Lady Saw,no doubt,
Underneath It All,Lady Saw,3,30,2002,No Doubt Featuring Lady Saw,lady saw,
'03 Bonnie & Clyde,Jay-Z,4,23,2002,Jay-Z Featuring Beyonce Knowles,jay-z,
'03 Bonnie & Clyde,Beyonce Knowles,4,23,2002,Jay-Z Featuring Beyonce Knowles,beyonce knowles,
Cleanin' Out My Closet,Eminem,4,20,2002,,eminem,
I Need A Girl (Part Two),P. Diddy & Ginuwine,4,26,2002,"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",p. diddy,p. diddy & ginuwine
I Need A Girl (Part Two),P. Diddy & Ginuwine,4,26,2002,"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",ginuwine,p. diddy & ginuwine
I Need A Girl (Part Two),"Loon, Mario Winans & Tammy Ruggeri",4,26,2002,"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri","loon, mario winans & tammy ruggeri",
I'm With You,Avril Lavigne,4,27,2002,,avril lavigne,
Just A Friend 2002,Mario,4,21,2002,,mario,
Luv U Better,LL Cool J,4,22,2002,,ll cool j,
Oh Boy,Cam'Ron,4,21,2002,Cam'Ron Featuring Juelz Santana,cam'ron,
Oh Boy,Juelz Santana,4,21,2002,Cam'Ron Featuring Juelz Santana,juelz santana,
Picture,Kid Rock,4,34,2002,Kid Rock Featuring Sheryl Crow Or Allison Moorer,kid rock,
Picture,Sheryl Crow Or Allison Moorer,4,34,2002,Kid Rock Featuring Sheryl Crow Or Allison Moorer,sheryl crow or allison moorer,
When I'm Gone,3 Doors Down,4,45,2002,,3 doors down,
A Thousand Miles,Vanessa Carlton,5,41,2002,,vanessa carlton,
Girlfriend,'N Sync,5,20,2002,'N Sync Featuring Nelly,'n sync,
Girlfriend,Nelly,5,20,2002,'N Sync Featuring Nelly,nelly,
The Game Of Love,Santana,5,37,2002,Santana Featuring Michelle Branch,santana,
The Game Of Love,Michelle Branch,5,37,2002,Santana Featuring Michelle Branch,michelle branch,
The Middle,Jimmy Eat World,5,33,2002,,jimmy eat world,
All You Wanted,Michelle Branch,6,28,2002,,michelle branch,
Down 4 U,Irv Gotti Presents The Inc.,6,20,2002,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",irv gotti presents the inc.,
Down 4 U,"Ja Rule, Ashanti, Charli Baltimore & Vita",6,20,2002,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita","ja rule, ashanti, charli baltimore & vita",
One Last Breath,Creed,6,34,2002,,creed,
Can't Get You Out Of My Head,Kylie Minogue,7,20,2002,,kylie minogue,
Gimme The Light,Sean Paul,7,39,2002,,sean paul,
Landslide,Dixie Chicks,7,29,2002,,dixie chicks,
Long Time Gone,Dixie Chicks,7,20,2002,,dixie chicks,
Oops (Oh My),Tweet,7,20,2002,,tweet,
What About Us?,Brandy,7,18,2002,,brandy,
Die Another Day,Madonna,8,17,2002,,madonna,
Don't Let Me Get Me,P!nk,8,21,2002,,p!nk,
Don't Mess With My Man,Nivea,8,36,2002,Nivea Featuring Brian & Brandon Casey,nivea,
Don't Mess With My Man,Brian & Brandon Casey,8,36,2002,Nivea Featuring Brian & Brandon Casey,brian & brandon casey,
Gossip Folks,"Missy ""Misdemeanor"" Elliott",8,20,2002,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",missy 'misdemeanor' elliott,
Gossip Folks,Ludacris,8,20,2002,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",ludacris,
Happy,Ashanti,8,23,2002,,ashanti,
Heaven,DJ Sammy & Yanou,8,27,2002,DJ Sammy & Yanou Featuring Do,dj sammy & yanou,
Heaven,Do,8,27,2002,DJ Sammy & Yanou Featuring Do,do,
Just Like A Pill,P!nk,8,20,2002,,p!nk,
Addictive,Truth Hurts,9,20,2002,Truth Hurts Featuring Rakim,truth hurts,
Addictive,Rakim,9,20,2002,Truth Hurts Featuring Rakim,rakim,
Love Of My Life (An Ode To Hip Hop),Erykah Badu,9,27,2002,Erykah Badu Featuring Common,erykah badu,
Love Of My Life (An Ode To Hip Hop),Common,9,27,2002,Erykah Badu Featuring Common,common,
Underneath Your Clothes,Shakira,9,20,2002,,shakira,
Gotta Get Thru This,Daniel Bedingfield,10,21,2002,,daniel bedingfield,
I'm Gonna Be Alright,Jennifer Lopez,10,23,2002,Jennifer Lopez Featuring Nas,jennifer lopez,
I'm Gonna Be Alright,Nas,10,23,2002,Jennifer Lopez Featuring Nas,nas,
Move B***h,Ludacris,10,23,2002,Ludacris Featuring Mystikal & Infamous 2.0,ludacris,
Move B***h,Mystikal & Infamous 2.0,10,23,2002,Ludacris Featuring Mystikal & Infamous 2.0,mystikal & infamous 2.0,
Nothin',N.O.R.E.,10,24,2002,,n.o.r.e.,
Sk8er Boi,Avril Lavigne,10,20,2002,,avril lavigne,
Like I Love You,Justin Timberlake,11,20,2002,,justin timberlake,
Pass The Courvoisier Part II,Busta Rhymes,11,20,2002,Busta Rhymes Featuring P. Diddy & Pharrell,busta rhymes,
Pass The Courvoisier Part II,P. Diddy & Pharrell,11,20,2002,Busta Rhymes Featuring P. Diddy & Pharrell,p. diddy,p. diddy & pharrell
Pass The Courvoisier Part II,P. Diddy & Pharrell,11,20,2002,Busta Rhymes Featuring P. Diddy & Pharrell,pharrell,p. diddy & pharrell
Still Fly,Big Tymers,11,24,2002,,big tymers,
Escape,Enrique Iglesias,12,20,2002,,enrique iglesias,
Rainy Dayz,Mary J. Blige,12,20,2002,Mary J. Blige Featuring Ja Rule,mary j. blige,
Rainy Dayz,Ja Rule,12,20,2002,Mary J. Blige Featuring Ja Rule,ja rule,
Hella Good,No Doubt,13,20,2002,,no doubt,
No Such Thing,John Mayer,13,24,2002,,john mayer,
She Hates Me,Puddle Of Mudd,13,23,2002,,puddle of mudd,
Wanksta,50 Cent,13,20,2002,,50 cent,
Wasting My Time,Default,13,35,2002,,default,
Days Go By,Dirty Vegas,14,20,2002,,dirty vegas,
I Love You,Faith Evans,14,21,2002,,faith evans,
Baby,Ashanti,15,22,2002,,ashanti,
If I Could Go!,Angie Martinez,15,26,2002,Angie Martinez Featuring Lil' Mo & Sacario,angie martinez,
If I Could Go!,Lil' Mo & Sacario,15,26,2002,Angie Martinez Featuring Lil' Mo & Sacario,lil' mo & sacario,
I Care 4 U,Aaliyah,16,20,2002,,aaliyah,
halfcrazy,Musiq,16,25,2002,,musiq,
Soak Up The Sun,Sheryl Crow,17,29,2002,,sheryl crow,
dontchange,Musiq,17,26,2002,,musiq,
Full Moon,Brandy,18,20,2002,,brandy,
Here Is Gone,Goo Goo Dolls,18,20,2002,,goo goo dolls,
Sick Of Being Lonely,Field Mob,18,20,2002,,field mob,
Your Body Is A Wonderland,John Mayer,18,29,2002,,john mayer,
Thugz Mansion,2Pac,19,20,2002,,2pac,
When The Last Time,Clipse,19,21,2002,,clipse,
Family Portrait,P!nk,20,20,2002,,p!nk,
Lifestyles Of The Rich And Famous,Good Charlotte,20,20,2002,,good charlotte,
Trade It All,Fabolous,20,18,2002,Fabolous Featuring P. Diddy & Jagged Edge,fabolous,
Trade It All,P. Diddy & Jagged Edge,20,18,2002,Fabolous Featuring P. Diddy & Jagged Edge,p. diddy,p. diddy & jagged edge
Trade It All,P. Diddy & Jagged Edge,20,18,2002,Fabolous Featuring P. Diddy & Jagged Edge,jagged edge,p. diddy & jagged edge
Down A** Chick,Ja Rule,21,19,2002,"Ja Rule Featuring Charli ""Chuck"" Baltimore",ja rule,
Down A** Chick,"Charli ""Chuck"" Baltimore",21,19,2002,"Ja Rule Featuring Charli ""Chuck"" Baltimore","charli ""chuck"" baltimore",
Goodbye To You,Michelle Branch,21,20,2002,,michelle branch,
Po' Folks,Nappy Roots,21,23,2002,Nappy Roots Featuring Anthony Hamilton,nappy roots,
Po' Folks,Anthony Hamilton,21,23,2002,Nappy Roots Featuring Anthony Hamilton,anthony hamilton,
A New Day Has Come,Celine Dion,22,20,2002,,celine dion,
Good Times,Styles,22,20,2002,,styles,
Saturday (Oooh! Ooooh!),Ludacris,22,20,2002,Ludacris Featuring Sleepy Brown,ludacris,
Saturday (Oooh! Ooooh!),Sleepy Brown,22,20,2002,Ludacris Featuring Sleepy Brown,sleepy brown,
The Good Stuff,Kenny Chesney,22,20,2002,,kenny chesney,
Who's Your Daddy?,Toby Keith,22,20,2002,,toby keith,
19 Somethin',Mark Wills,23,20,2002,,mark wills,
Hands Clean,Alanis Morissette,23,20,2002,,alanis morissette,
Love At First Sight,Kylie Minogue,23,16,2002,,kylie minogue,
She'll Leave You With A Smile,George Strait,23,20,2002,,george strait,
Somebody Like You,Keith Urban,23,20,2002,,keith urban,
These Days,Rascal Flatts,23,20,2002,,rascal flatts,
Why Don't We Fall In Love,Amerie,23,19,2002,,amerie,
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,25,21,2002,,toby keith,
I Should Be...,Dru Hill,25,17,2002,,dru hill,
More Than A Woman,Aaliyah,25,24,2002,,aaliyah,
My List,Toby Keith,26,20,2002,,toby keith,
Ten Rounds With Jose Cuervo,Tracy Byrd,26,20,2002,,tracy byrd,
Unbroken,Tim McGraw,26,20,2002,,tim mcgraw,
I Just Wanna Be Mad,Terri Clark,27,20,2002,,terri clark,
Living And Living Well,George Strait,27,20,2002,,george strait,
Makin' Good Love,Avant,27,20,2002,,avant,
Nothing In This World,KeKe Wyatt,27,20,2002,KeKe Wyatt Featuring Avant,keke wyatt,
Nothing In This World,Avant,27,20,2002,KeKe Wyatt Featuring Avant,avant,
Satisfaction,Eve,27,16,2002,,eve,
Stole,Kelly Rowland,27,20,2002,,kelly rowland,
Anything,Jaheim,28,20,2002,Jaheim Featuring Next,jaheim,
Anything,Next,28,20,2002,Jaheim Featuring Next,next,
Beautiful Mess,Diamond Rio,28,20,2002,,diamond rio,
Drive (For Daddy Gene),Alan Jackson,28,20,2002,,alan jackson,
Fabulous,Jaheim,28,20,2002,Jaheim Featuring Tha Rayne,jaheim,
Fabulous,Tha Rayne,28,20,2002,Jaheim Featuring Tha Rayne,tha rayne,
Feel It Boy,Beenie Man,28,12,2002,Beenie Man Featuring Janet,beenie man,
Feel It Boy,Janet,28,12,2002,Beenie Man Featuring Janet,janet,
Girl Talk,TLC,28,14,2002,,tlc,
I Miss My Friend,Darryl Worley,28,20,2002,,darryl worley,
The Baby,Blake Shelton,28,20,2002,,blake shelton,
Two Wrongs,Wyclef Jean,28,20,2002,Wyclef Jean Featuring Claudette Ortiz,wyclef jean,
Two Wrongs,Claudette Ortiz,28,20,2002,Wyclef Jean Featuring Claudette Ortiz,claudette ortiz,
Youth Of The Nation,P.O.D.,28,19,2002,,p.o.d.,
Disease,matchbox twenty,29,20,2002,,matchbox twenty,
I'm Gonna Miss Her (The Fishin' Song),Brad Paisley,29,20,2002,,brad paisley,
The Impossible,Joe Nichols,29,21,2002,,joe nichols,
Don't Know Why,Norah Jones,30,31,2002,,norah jones,
Grindin',Clipse,30,20,2002,,clipse,
Ordinary Day,Vanessa Carlton,30,18,2002,,vanessa carlton,
