label,big_3_affiliation,#_of_connected_artists,total_power_of_connected_artists
Classic Sound,Other,1,93
Rip-It Records,Other,1,93
Lil’ Joe Records,Other,1,93
Hitstown,Other,1,93
MJJ Productions,Other,1,93
Blue Cat,Other,1,93
Rhino Custom Products,Other,1,93
Tower,Other,1,93
Hawk,Other,1,93
Kat Family,Other,1,93
Clairo Records,Other,1,93
Virgin Music Group,Universal,1,93
United Masters,Other,1,93
Earache Records,Other,1,93
Charly Films,Other,1,93
Juana,Other,1,93
Slam Music,Other,1,93
Form Records,Other,1,93
BnF Collection,Other,1,93
Groove Groove Melody,Other,1,93
Dixie Live,Other,1,93
Danya Records Ltd.,Other,1,93
Musketeer Records,Other,1,93
Wind‐Up Records LLC,Other,1,93
Loma Vista Recordings,Other,1,93
New CMG Records P&D,Other,1,93
20:21,Other,1,93
15 Passenger,Other,1,93
The Goldmind,Other,1,93
Sounds Good,Other,1,93
Abracadabra,Other,1,93
Up/Down Records,Other,1,93
Kolob Music,Other,1,93
Shell,Other,1,93
Kelsey Media,Other,1,93
E.V.L.A. Records Entertainment,Other,1,93
Booga Basement Records,Other,1,93
Action Replay Records,Other,1,93
Reaktor Recordings,Other,1,93
1-800-Harmony,Other,1,93
Priarity Records,Other,1,93
Trapsoul,Other,1,93
Eagle Rock,Other,1,93
Jimmy and Doug’s Farmclub.com,Other,1,93
Cr2 Records,Other,1,93
Catch & Release,Other,1,93
Altra Moda Music,Other,1,93
Rise Above Records,Other,1,93
Stoned Records,Other,1,93
Cisco Music,Other,1,92
AMT,Other,1,92
Antena Krzyku,Other,1,92
ADA Sound Ltd.,Other,1,92
Mustang Records,Other,1,92
EMI Music New Zealand,Other,1,92
MNRK Heavy,Other,1,92
Remember,Other,1,92
Opal Tapes,Other,1,92
Smash,Other,1,92
Murmur,Other,1,92
Relayer Music,Other,1,92
Home Grown Music,Other,1,92
Double Shot Records,Other,1,92
Ariola Hansa,Other,1,92
Vagrant Records,Other,1,92
HomeSchool Records,Other,1,92
Saguaro Road Records,Other,1,92
Radiculture Records,Other,1,92
Golden Stars,Other,1,92
ABM,Other,1,92
YJ Music,Other,1,92
Four Ways to Rock,Other,1,92
Rockmasters,Other,1,92
Unauthorized Entertainment,Other,1,92
IN SYNK,Other,1,92
Tornado Records,Other,1,92
GRT Records,Other,1,92
Pedernales Records,Other,1,92
UMe Digital,Other,1,92
University Records,Other,1,92
Radio Records,Other,1,92
Hidden Note Records,Other,1,92
100 Hits,Other,1,92
101 South Records,Other,1,92
Flawless Records,Other,1,92
Clouds,Other,1,92
Rhythm and Blues,Other,1,92
Cold Chillin’,Other,1,92
X-Ray,Other,1,92
BMG Arista Records Ltd.,Other,1,92
Hot Productions,Other,1,92
Spades Records,Other,1,92
A45 Music,Other,1,92
Songbook Productions,Other,1,92
Dash,Other,1,92
Chrissie Hynde,Other,1,92
American Greetings,Other,1,92
Chamillitary,Other,1,91
H.O.L.A. Recordings,Other,1,91
Next Plateau Records Inc.,Other,1,91
D58 Mixes,Other,1,91
Logic Records,Sony,1,91
Fiveman Army Rocks,Other,1,91
Addiction Records,Other,1,91
Wildstar Records,Other,1,91
Decca Classics,Universal,1,91
Colorize,Other,1,91
Balloon Records,Other,1,91
Field Trip Recordings,Universal,1,91
Hollywood,Other,1,91
CID,Other,1,91
T-Bones Records,Other,1,91
Drive‐Thru Records,Other,1,91
Silver Cloud,Other,1,91
Living Legend Records,Other,1,91
More is More,Other,1,91
8ft. Records,Other,1,91
Dunwich,Other,1,91
Sony CMG,Other,1,91
ImaVeePee Records,Other,1,91
CNR,Other,1,91
Bonnier Music,Other,1,91
Hypnotic Records,Other,1,91
Hux,Other,1,91
MPL Communications Ltd.,Other,1,91
Big Oomp Records,Other,1,91
Nomark,Other,1,91
Aquemini Records,Other,1,91
Beatwerk Records,Other,1,91
JVKE MUSIC LLC,Other,1,91
Liquid State,Other,1,91
Tiger Electronics,Other,1,91
Bellevue Entertainment,Other,1,91
21 Records,Other,1,91
Joyner Lucas,Other,1,91
Internet Money Records,Other,1,91
Fee Records,Other,1,91
Magnet,Other,1,91
Jupiter Records,Other,1,91
Lemon Recordings,Other,1,91
2DF.enterprises,Other,1,91
Feel Good Music,Other,1,91
Black Music,Other,1,91
Globus International,Other,1,91
Rust Records,Other,1,91
JB Production,Other,1,91
Piccadilly,Other,1,91
CMC,Other,1,91
K-Tel International (USA),Other,1,91
All We Got Ent.,Other,1,91
Dead Silence Records,Other,1,91
Sony Music Entertainment UK,Other,1,91
Brasileira Vintage Records,Other,1,91
Amy,Other,1,91
Guaranteed Records,Other,1,91
Mac’s Record Label,Other,1,91
Low Country Sound,Warner,1,91
Glorious Dead Recordings,Other,1,91
1501 Certified Entertainment,Other,1,90
Jigu Records,Other,1,90
TNT Recordings,Other,1,90
Creator Records under exclusive license to Universal Music Romania,Other,1,90
Hit-Ton Schallplatten,Other,1,90
Heliodor,Other,1,90
Ichiban,Other,3,90
Sanctuary Urban,Sony,1,90
UMG Recordings,Other,1,90
Grammy,Other,1,90
Belift Lab,Universal,1,90
GlassNote,Other,1,90
ABR Records,Other,1,90
Southbound,Other,1,90
AP Music Ltd.,Other,1,89
ERCA,Other,1,89
Fuel Records,Other,2,89
METAL FRONTIER,Other,1,89
MDP Records,Other,1,89
Brigand,Other,1,89
Stax Records,Other,1,89
311 Records,Other,1,89
Discos Home,Other,1,89
Gilla House,Other,1,89
Aniplex,Sony,1,89
Charger Records,Other,1,88
BMG Korea Co.,Other,1,88
Mercury Studios,Universal,1,88
Prospect Park,Other,1,88
NME Networks,Other,1,88
Capitol Records–EMI of Canada,Other,1,88
Analog Spark,Other,1,88
Aware Records LLC,Other,1,88
Hollace Inc.,Other,1,87
Long Island Music Company Ltd.,Other,1,87
Black Hill Pictures GmbH,Other,1,87
COE Records,Other,1,87
Soundwings,Other,1,87
IAMSOUND Records,Other,2,87
Sony Latin,Other,1,87
EMI Film & TV Music,Other,1,87
Spicebush Swallowtail Records,Other,1,87
Northworld Recordings,Other,1,86
Quiet Money Records,Other,1,86
Acme,Other,1,86
Alligator Records,Warner,1,86
Provident Label Group,Sony,3,86
DCD2,Other,2,86
ALES Music,Other,1,86
Mono Vs Stereo,Other,1,86
Helium-3,Other,1,86
Swervo,Other,1,86
Sony Music Entertainment Inc.,Other,1,85
avex trax,Other,1,85
Bella Figura Music Ltd.,Other,1,85
avex group,Other,1,85
American Beat Records,Other,2,85
UMG,Other,1,85
Dead Oceans,Other,2,85
The Forefront Communications Group,Other,1,85
TOY’S FACTORY,Other,1,85
Iconoclassic Records,Other,2,85
Silent Room Recordings,Other,1,85
Atlantic Oldies Series,Other,1,84
Trace,Other,1,84
Ipecac Recordings,Other,1,84
RT Industries,Other,1,84
Wand,Other,1,84
Liberation Music,Other,1,84
Headquarter Records,Other,1,84
Castanet Records,Other,1,84
Vaz Records,Other,1,84
In the Paint Records,Other,1,84
F-Stop Music,Warner,1,84
Astoria Records,Other,1,84
FonoVisa,Other,1,84
RCA Label Group,Sony,2,84
Background,Other,1,84
Original Signal Recordings,Other,1,83
T.K. Disco,Other,1,83
LivePhish.com,Other,1,83
Block Entertainment,Universal,1,83
Signature Sounds,Other,1,83
AWAL Recordings Ltd,Other,1,83
Green Streets Entertainment,Other,1,83
Bad Boy South,Other,1,83
Infamous Records,Other,1,83
Mosaic Music Distribution,Other,1,83
Advance Music,Other,1,83
Laufey,Other,1,83
Bandit.FM,Other,1,82
IRI,Other,1,82
Hearts & Stars Records,Other,1,82
DCC Recording,Other,1,82
Provident Label Group LLC,Other,1,82
Beechwood Music,Other,1,82
Music for Nations,Other,1,82
B & a Entertainment,Other,1,82
Selena Gomez PS,Other,1,81
Let Them Eat Vinyl,Other,1,81
Blackbird Presents,Other,1,81
Maybellene,Other,1,81
cutting edge,Other,1,81
Dig It International,Other,1,81
Rocketown Records,Other,1,81
Abner,Other,1,81
Nova,Other,1,81
Tachika Records,Other,1,81
Charly R&B,Other,1,81
Fullsteam Records,Other,1,81
Bullion Records,Other,1,81
Tha Alumni Music Group,Other,1,81
Tha Alumni,Other,1,81
Mountain Fighting Records,Other,1,81
Superclose,Other,1,80
Aerosmith P&D – Geffen,Other,1,80
90/9,Other,1,80
Various Production,Other,1,80
Floating World,Other,2,80
Moshi Moshi Records,Other,1,80
Cut & Run,Other,1,80
GO!LIVE,Other,1,80
Curtom,Other,1,80
Dogtoire Records,Other,1,80
Blizzard Music Ltd.,Other,1,80
Charly Groove,Other,1,80
Discos CBS International,Other,1,80
Acoustic Legends Records,Other,1,79
Legend Records Inc,Other,1,79
Hilltop Records,Other,1,79
Goldies 45,Other,1,79
Intertape,Other,1,79
DayDream Records,Other,1,79
Herbie Hancock Records,Other,1,79
Hancock Music,Other,1,79
sped up nightcore,Other,1,79
A.D.D. Records,Other,1,79
A Colourful Storm,Other,1,79
Companion,Other,1,79
Carinco Neue Medien GmbH,Other,1,79
King Records,Other,3,79
Blue Collar Records,Other,1,79
SPQR,Other,1,79
Next Plateau Records,Other,1,78
Trauma Records,Other,1,78
We the Best Music,Other,1,78
Great Dane Records,Other,1,78
Sidewinder Music,Other,1,78
RCA Special Products,Other,1,78
Mermaid Records,Sony,1,78
Artbeatz,Other,1,78
Big Legal Mess Records,Other,1,78
Garland,Warner,1,78
Aquarius,Other,1,78
American Tapes,Other,1,77
Altissimo! Recordings,Other,1,77
STMPD RCRDS,Other,1,77
Epic Amsterdam,Other,1,77
Freeworld,Other,1,77
Acrobat,Other,1,77
RCA Deutschland,Other,1,76
Oil Well,Other,1,76
Kapina Media,Other,1,76
Gracie Productions,Other,1,76
Kiss the Stone,Other,2,76
Blue Horizon,Warner,2,76
ERG,Other,1,76
PolyGram Discos Ltda.,Other,1,76
Soribada,Other,1,75
No Limit Forever,Other,1,75
Hanna-Barbera Records,Other,1,75
Rykodisc,Other,6,75
CLINCK RECORDS,Other,1,75
Brisa,Other,1,74
Christmas Gold,Other,1,74
Leader Music,Other,1,74
Bronx Born Records,Other,1,74
Classic Compact Discs,Other,1,74
Universal Music B.V.,Other,1,74
Frank Sinatra Digital Reprise,Other,1,74
Fever Records,Sony,1,74
Warwick,Other,1,74
Ghet-O-Vision,Other,1,74
Leftfield Media,Other,1,73
impulse!,Other,2,73
Monstercat,Other,1,73
Combat,Other,1,73
Flashback,Other,1,73
Verity Gospel Music Group,Other,1,72
Drakkar Productions,Other,1,72
K.P.A. Records,Other,1,72
Platinum,Other,1,72
Equity Distribution,Other,1,72
Seagull Records,Other,1,72
EarthPercent,Other,1,72
Warner Music Argentina,Warner,1,72
Blue Note Label Group,Other,1,72
EMI Greece,Other,1,71
Fallen Sparks,Other,1,71
RED GENERAL CATALOG,Other,1,71
Concert Live,Other,1,71
Horizon,Other,1,71
Hellcat Records,Warner,1,71
SAWGOD - Columbia,Other,1,71
BMG Strategic Marketing Group,Other,1,71
Companhia Brasileira De Discos Phonogram,Other,1,71
Comic Relief,Other,1,71
EMI Music Argentina,Universal,1,71
Ripete Records,Other,1,70
Union Records,Other,1,70
20‐20 Entertainment LLC,Other,1,70
The Swingin’ Pig Records,Other,1,70
Grand Royal,Other,1,70
Biv 10 Records,Universal,1,69
Rinse,Other,1,69
Concord Bicycle Assets,Other,1,69
Found Frequencies,Other,1,69
MSM Music Group,Other,1,69
Mena Music,Other,1,69
Chop Shop Records,Warner,1,68
Rainbow,Other,1,68
DG Records,Other,1,68
Universe,Other,1,68
Vereinigte Motor‐Verlage GmbH & Co. KG,Other,1,68
Rainy Wednesday,Other,1,68
BMG Rights Management (UK) Ltd.,Other,1,68
Volcano Entertainment III,Other,1,68
Everloving Records,Other,1,67
Superfecta Recordings,Other,1,67
Curb | Word,Other,1,67
Enjoy Records,Other,1,67
Universal Music Australia,Universal,1,67
Blackened Recordings Inc.,Other,1,66
Arcade,Other,2,66
Фоно,Other,1,66
JVC Mastering Center,Other,1,66
Stage Three Music Ltd.,Other,1,66
Miracle,Other,1,66
Harmony Records,Other,1,66
Renaissance Records,Other,1,66
Laugh A Minute Records Ltd,Other,1,66
1320 Records,Other,1,65
Myrrh,Other,1,65
#23INCREDIBLEINDUSTRIES,Other,1,65
WEB Entertainment,Other,1,65
Riverhorse Records,Other,1,64
Live Icons,Other,1,64
LMR Street,Other,1,64
Premium Latin Music,Other,1,64
Bluesway,Other,1,63
Baktabak,Other,1,63
Funkytowngrooves USA,Other,1,63
CBS Fox Video Music,Other,1,63
EMI Plus,Other,1,63
BMG Music International,Other,1,63
Jet Life Recordings,Warner,1,62
Westwood One,Other,1,62
Crocodile Beat,Other,1,62
DD172,Other,1,62
tearbridge international,Other,1,62
Anaconda Productions,Other,1,62
FNC Entertainment,Warner,1,62
Ambush Records,Other,1,62
Agencja Artystyczna MTJ,Other,1,62
Curtom Records,Other,1,61
Laser Media,Other,1,61
LTC,Other,1,61
BMG Denmark,Other,1,61
Award-77,Other,1,61
Fervent Records,Other,1,61
Blueprint (9),Other,1,60
Tempo Music Investments,Other,2,60
Sugar Hill Records,Other,3,60
Horizon Records,Other,1,60
Inot Records,Other,1,60
Ambassade Records,Other,1,59
Mercury Japan,Other,1,59
Boiler Room,Other,1,59
Traffic Records,Other,1,59
Alive Naturalsound Records,Other,1,59
Almost Country Records,Other,1,59
CBS Sugar,Other,1,59
Maybach Music Group LLC,Other,1,59
Aphilliates,Other,1,59
LeFrak-Moelis Records,Other,1,58
Rat Pack Records,Other,1,58
Sleazy Records,Other,1,58
Arriba!,Other,1,58
Sumerian Records,Other,3,58
Universal Music Strategic Marketing,Universal,1,57
Klondyke Records,Other,1,57
300 Entertainment LLC,Other,1,57
Wax Poetics Japan,Other,1,57
Kingsway Music,Other,1,57
E’G,Other,1,57
Smirnoff,Other,1,57
Gold Legion,Other,1,56
Audiofon,Other,1,56
Refugee Camp Entertainment,Other,1,56
13,Other,1,56
Blue Elephant,Other,1,56
Ten Point Productions,Other,1,56
IronBird Records,Other,1,56
Kicks,Other,1,56
Teal Records,Other,1,56
Brentwood Music,Other,1,55
Essential Recordings,Other,1,55
Metro Recordings,Other,1,55
Dental Records,Other,1,55
Streetwise,Other,1,55
Viper Recordings,Other,1,55
Octave Lab.,Other,1,55
Charisma Catalogue,Other,1,54
Universal Music Domestic Division,Universal,1,54
mau5trap,Other,1,54
Fortunate Son,Other,1,54
Bucks Music Group Ltd.,Other,1,54
Ric-Tic Records,Other,1,53
Sutra Records,Other,1,53
Asthmatic Kitty Records,Other,1,53
ADA France,Warner,1,53
1505 Records,Other,1,52
Allido Records,Other,2,52
Megaphonic Records,Other,1,52
Seeker Music,Other,1,51
Amadeo,Other,1,51
4th & B’way,Other,1,51
Jigu Records Corporation,Other,1,50
Dischi Ricordi S.p.A.,Other,1,50
Worldwide Records,Other,1,50
Uni/Motown,Other,1,50
Attic Records Limited,Other,1,50
Jimco Records,Other,1,49
DTIFC,Other,1,49
Hypnotize Minds,Sony,1,49
Public Demand,Other,1,49
Minit,Other,1,49
CP Records,Other,1,48
Marble Arch,Other,1,48
Cameos,Other,1,48
Aramis,Other,1,48
Probe,Other,1,48
LINAM,Other,1,48
House Records,Other,1,48
Lady Pilot,Other,1,47
EMI Christian Music Group,Other,1,47
Steamhammer,Other,2,47
Secretly Canadian,Other,3,47
Crystal,Other,1,47
Big Pink,Other,3,47
Robinsongs,Other,3,46
Raven Records,Other,1,46
Mascot Records,Other,1,45
Wiggy Thump Records,Other,1,45
Angel Records,Universal,1,45
ColliPark Music,Other,1,45
The Grapevine Label,Other,2,45
Emidisc,Other,2,45
InVogue Records,Warner,1,45
Stang Records,Other,1,44
Dope,Other,1,44
Zip City,Other,1,44
Jen sheng,Other,1,44
Jones Music,Other,1,44
Time Music International Limited,Other,1,43
Green Ray,Other,1,43
Kidz Bop,Other,1,43
edel,Other,1,43
M.A.O. Records,Other,1,43
SoNo Recording Group,Other,1,43
Gravadora Eldorado,Other,1,43
Greensleeves Records,Other,1,42
Fiction Records,Universal,1,42
High Top Mountain Records,Other,1,42
DSP,Other,1,42
Ariola Power World,Other,1,42
Sand Hill Records,Other,1,42
Loose Music,Other,1,42
Sony Legacy,Other,3,42
Provident Distribution,Other,1,42
Hostile Records,Other,1,42
11-7 Recording Corp,Other,1,42
4worlds Media,Other,1,41
At Night,Other,1,41
Atom Empire,Other,1,41
Daft Life Limited,Other,1,40
Playground Music Scandinavia,Other,1,40
Camouflage Recordings DnB,Other,1,40
Deep Soul Entertainment,Other,1,39
Memory Lane,Other,1,39
Crest,Other,1,39
Axis of Influence [Very Good Beats],Other,1,39
Gateway Music,Other,1,38
Cooking Vinyl Australia,Other,1,38
Bigmouth JPN,Other,1,38
Westside,Other,1,38
Tin Pan Apple,Other,1,38
Areito,Other,1,38
Spirit Music Group,Other,1,38
BBR Music Group,Other,2,37
1400 Entertainment,Other,1,37
JES MusiQ Productions Entertainment,Other,1,37
BIG Label Records,Other,1,37
Double-L,Other,1,37
Boston Place Music,Other,1,36
R & J Records,Other,1,34
Treat Baker Music Inc.,Other,1,33
Big Music,Other,1,33
HPI Records,Other,1,33
Mobo Records,Other,1,33
Carnival Records,Other,1,33
Aware,Other,1,33
Kent Soul,Other,1,33
Sound for Industry,Other,1,33
PTG Records,Other,2,33
Imperial Records International,Other,1,32
Laufer Entertainment Group,Other,1,32
Magyar Hanglemezgyártó Vállalat,Other,1,32
Splasc(H) Records,Other,1,32
The Brothers Organisation,Other,1,32
BroTown Records,Other,1,32
W & G,Other,1,32
Tha Row Records,Other,1,32
Oh Boy Records,Other,1,31
Sunset Blvd Records,Other,1,31
Relapse Records,Warner,1,31
Lost Kids,Other,1,30
Rhino Records,Warner,1,30
RLG/Legacy,Other,1,30
High Definition Surround,Other,1,30
Playing for Change Records,Other,1,30
Fly,Other,1,29
Phono,Other,1,29
Ace of Clubs,Other,1,29
An Naer produksion,Other,1,29
Alliance Records,Other,1,29
Happy Music,Other,1,29
Gold Mind,Other,1,29
Baur Music Production,Other,2,29
Radioactive Records,Universal,1,28
SUPER BIRD,Other,1,28
Verve Label Group,Universal,1,28
Lionel Records,Other,1,28
Rhino Entertainment LLC,Other,1,28
Ardent Records,Other,1,27
Hear No Evil Recordings Ltd,Other,1,27
Dreamworks,Other,1,27
ColliPark Records,Other,1,27
RMM Records,Other,1,27
4th Column,Other,1,26
Locomotion Recordings,Other,1,26
Breeze Music,Other,1,26
Attack 9,Other,1,25
London Records (Because Ltd),Other,1,25
Fargo Records,Other,1,25
Audiophile Sound,Other,1,25
Brave Art Records,Other,1,24
TRIPLE VISION entertainment,Other,1,23
Fox Records,Other,1,23
Slash,Other,1,23
Hib-Tone Records,Other,1,23
Art Club,Other,1,22
Thirty Tigers,Other,4,22
TVT Soundtrax,Other,1,22
Blue Rose Records,Other,1,22
Sony Jazz,Other,1,22
Smokin’,Other,1,21
335 Records,Other,1,21
Anagram Records,Other,1,21
PILZ,Other,2,20
Coalition Music Records,Other,1,20
HTK Records,Other,1,20
Hassle Records,Other,1,20
Zero Corporation,Other,1,19
Triad Records,Other,1,19
RuffTown Records,Other,1,19
206 Records,Other,1,18
Drup,Other,1,17
Ghettoblaster,Other,1,17
Universal Music México,Other,1,17
Blue Moon,Other,2,16
SM Entertainment,Warner,1,15
BMG Music Spain,Other,2,15
Peach Records,Other,1,15
BBS Records,Other,1,15
Blooming Jazz Records,Other,1,15
Octave,Other,1,15
Badman Recording Co.,Other,1,14
Music Mill Entertainment,Other,1,14
AVROTROS,Other,1,14
AUGUSTA RECORDS,Other,1,14
Aderra,Other,1,14
FUBU Records,Other,1,14
FB Entertainment,Other,1,14
Island Remasters,Other,1,13
Pointblank Records,Other,1,13
Polar Music International AB,Other,2,13
Abbey Road Interactive,Other,1,13
Team Love,Other,1,13
Loves Way,Other,1,13
Axe Killer,Other,1,11
Music of the World,Other,1,11
Black Lion,Other,1,10
Daylight,Other,1,10
Da Band Music,Other,1,10
Alternative Distribution Alliance,Other,1,10
Tri-Phi Records,Other,1,10
Alola,Other,1,10
Westbound Records,Other,1,10
Fame,Other,3,10
Milton Bradley,Other,1,10
Serchlite Music,Other,1,10
Smith Music Group,Other,1,10
Ill Will Records,Other,1,9
Santa Anna,Other,1,9
Effective Records,Other,1,9
Just Entertainment,Other,1,9
Lil Boosie Music,Other,1,9
Fact Magazine,Other,1,9
North-North Records,Other,1,8
Dope on Plastic Records,Other,1,7
Verve Records,Universal,1,7
BNA Entertainment,Other,1,6
RCA Italiana,Other,1,6
Belle Antique,Other,1,5
Antelope Records,Other,1,5
Limited Edition,Other,1,5
Admit One Records,Other,1,5
Wolf Tone,Other,1,5
600 Ent.,Other,1,4
It Goes Up Entertainment,Other,1,4
Nappy Boy Entertainment,Sony,1,4
Fnac Music,Other,2,4
War Dog,Other,1,4
Fierce Panda Records,Other,1,4
Architecture,Other,1,4
FAME,Other,1,3
BMG Music,Other,1,3
Gum Prod,Other,1,3
RockBeat Records,Other,1,2
Back Lot Music,Universal,1,2
Monogram,Other,1,2
Motor Music,Other,1,2
Show Dog Nashville,Other,1,2
Rhino Handmade,Other,1,2
V.I.P.,Other,2,1
Federal,Other,1,1
Duck Record,Other,1,0
Play It Again Sam,Other,1,0
Icewater Division,Other,1,-1
Big Boy Records,Other,1,-2
Universal Music Taiwan,Universal,1,-2
Burning Heart Records,Other,1,-3
Banner,Other,1,-4
100% Silk,Other,1,-4
99 Records,Other,1,-4
429 Records,Other,1,-4
Music Tape,Other,1,-4
702 Records,Other,1,-4
Rainman,Other,1,-5
BMG Direct Ltd.,Other,1,-5
Time Bomb Recordings,Other,1,-5
Emo's Not Dead,Other,1,-6
Firm Music,Other,1,-6
GRP,Other,2,-7
B‐Unique Records,Other,1,-7
Lightning Rod,Other,1,-8
Midi,Other,1,-8
Heavenly Recordings,Other,1,-8
It Goes Up,Other,1,-9
SoSouth,Other,2,-10
Black Barn Music,Other,2,-10
Eagle Vision,Other,1,-10
CRF Inc.,Other,2,-10
Columbia Music Video,Other,1,-11
CP Digital,Other,1,-11
MPO,Other,1,-12
Madeira Music,Other,1,-12
Artists Den Records,Other,1,-12
Burningharp Music,Other,1,-12
Chillum Records,Other,1,-15
Contemporary Jazz Masters,Other,1,-16
VI Music,Universal,2,-17
No Name Recordings,Other,1,-21
Rising Tide,Other,1,-21
Pastel Music,Other,1,-22
Janus Records,Other,2,-22
Lenono Music,Other,1,-23
MTV Unplugged,Other,1,-23
Prophet Entertainment,Other,1,-25
Straight Records,Other,1,-26
Aspire Higher,Other,1,-26
RedZone Entertainment,Other,1,-26
Jealous Butcher Records,Other,1,-27
Kill Rock Stars,Other,1,-27
Word Entertainment,Warner,1,-27
Lightning Rod Records,Other,1,-30
April Orchestra,Other,1,-30
CLS Music,Other,1,-32
Papa’s‐June Music,Other,1,-32
Dollaz N Dealz,Other,1,-33
Provident Entertainment,Other,1,-34
Worldwide Music,Other,1,-35
Backfire Рroductions,Other,1,-37
SMCMG,Other,1,-37
Aurora Borealis,Other,1,-37
Purple Gold Archives,Other,1,-37
Deadbeats,Other,1,-38
Fat Beats Records,Other,1,-38
Plyzen,Other,1,-38
Beverly Glen Music,Other,1,-38
ECM Records,Sony,1,-40
Flower Records,Other,1,-42
Virgin Records,Warner,1,-43
Grapefruit,Other,1,-44
Fastlife,Other,1,-45
Hut Recordings,Other,1,-45
Fast Life Music,Other,1,-45
Get Low Digital,Other,1,-45
EMI Music Publishing Korea,Other,1,-45
Cosmopolitan,Other,1,-45
GTN,Other,1,-46
CMC International Records,Other,2,-50
USM JAPAN,Other,1,-50
Major Hits Records,Other,1,-51
P.C.P.E,Other,1,-51
Soul Train,Other,1,-52
Alberts,Other,1,-53
Motor,Other,1,-54
Cohesion,Other,1,-56
Noiselab Records,Other,1,-57
3qtr,Other,1,-59
Saddle Creek Records,Warner,1,-60
Bad News Records,Other,1,-60
BBC Transcription Services,Other,1,-61
Group Therapy,Other,1,-62
Echo,Other,1,-63
Liula Records,Other,1,-63
Virgin Records Nashville,Other,1,-63
Deluxe Records,Other,1,-63
Anaconda,Other,1,-64
Estudios MultiTrack,Other,1,-64
All Star Production,Other,1,-64
4º Azul,Other,1,-64
Atonal Microtonal,Other,1,-66
EMI Records Australia,Other,1,-66
Second Disc Records,Other,1,-68
Angel Air,Other,1,-68
ARC,Other,1,-71
Big Cat Records,Other,1,-71
Bizarre,Other,1,-72
Barking Pumpkin Records,Other,1,-72
ABC Music,Other,1,-73
737 Productions,Other,1,-73
Nitro Records,Other,1,-73
Redfield Records,Other,1,-74
Abril Music,Other,1,-74
Trippy Music,Other,1,-75
Big Rig,Other,1,-75
Project Records,Other,1,-75
White Room Music,Other,1,-75
DMRemix,Other,1,-76
Magma,Other,1,-76
Velocity Records,Other,1,-77
[PIAS] UK,Other,1,-78
Doral Records,Other,1,-78
Sunflower Records,Other,1,-79
Speakers Corner,Other,1,-79
Arteton,Other,1,-79
Ramseur Records,Other,1,-81
IWILLENDYOUINC,Other,1,-82
Artificial Eye,Other,1,-85
UTV Records,Other,1,-85
Central Park Records,Other,1,-86
Indie Records,Other,1,-86
Zapple Records,Other,1,-90
Bull’s‐Eye,Other,1,-90
Gresham Records,Other,1,-91
Rhino Movie Music,Other,1,-91
Wise Buy,Other,1,-92
Enjoy the Ride Records,Other,1,-92
Enigma Retro,Other,1,-92
United,Other,1,-92
Art Is Hard Records,Other,1,-93
Reader’s Digest,Other,1,-93
Carpark Records,Warner,1,-94
Pro-Arte Records,Other,1,-96
RBC Records,Other,1,-96
Inevitable Entertainment,Other,1,-99
Luaka Bop,Other,1,-105
Castle Legends,Other,2,-113
Blue Eye Records,Other,1,-132
PGP-RTB,Other,3,-143
Chimera Music,Other,2,-196
