musicbrainz_artist_id,musicbrainz_artist_mbid,artist_name,youtube_url,youtube_id,url_type
368697,142db9a8-d42d-44f4-8f3c-db20e5bdfd78,Landon Pigg,https://www.youtube.com/channel/UCUQHqNW34O-zkidEuyY7EDQ,UCUQHqNW34O-zkidEuyY7EDQ,channel_id
1598599,3e149ad9-5a66-48de-a4b3-45ddd3be2da1,Landon Cube,https://www.youtube.com/channel/UCBCOAI6rmskcEpcjXbj2wSA,UCBCOAI6rmskcEpcjXbj2wSA,channel_id
923313,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,The 1975,https://music.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,UCNrTdctAV0JMT7RBQvpA5lw,channel_id
828613,b7539c32-53e7-4908-bda3-81449c367da6,Lana Del Rey,https://www.youtube.com/channel/UCqk3CdGN_j8IR9z4uBbVPSg,UCqk3CdGN_j8IR9z4uBbVPSg,channel_id
38982,298909e4-ebcb-47b8-95e9-cc53b087fc65,Lamb of God,https://music.youtube.com/channel/UCTaA5rGW1qSMnCTTFyFFKoA,UCTaA5rGW1qSMnCTTFyFFKoA,channel_id
614250,b5b5bb27-56e2-4a8c-825e-b39525dc4bc8,Laith Al-Saadi,https://www.youtube.com/channel/UCgogOHWbZJ5xB4-t7qkvZDQ,UCgogOHWbZJ5xB4-t7qkvZDQ,channel_id
1625343,a6e613d6-ff65-4972-beff-303a1b10ab05,Lainey Wilson,https://www.youtube.com/channel/UCZkeQWzPCGeH707eRS6K6Hg,UCZkeQWzPCGeH707eRS6K6Hg,channel_id
37624,a8fee308-c305-4ca1-8d30-28d150a8d5f7,Laid Back,https://www.youtube.com/channel/UCxWAnPIics6QC0rPFRHsAXA,UCxWAnPIics6QC0rPFRHsAXA,channel_id
50283,e393f079-cc8d-4955-98bd-ccd82cec7524,Lee Oskar,https://www.youtube.com/channel/UCE33QYoOWL_jmQSdBSlxp1g,UCE33QYoOWL_jmQSdBSlxp1g,channel_id
303,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,https://music.youtube.com/channel/UC2XdaAVUannpujzv32jcouQ,UC2XdaAVUannpujzv32jcouQ,channel_id
106927,6ffb8ea9-2370-44d8-b678-e9237bbd347b,Kings of Leon,https://music.youtube.com/channel/UCHqD2OBWbcWGmCve99uw47A,UCHqD2OBWbcWGmCve99uw47A,channel_id
1096838,91a81925-92f9-4fc9-b897-93cf01226282,The Chainsmokers,https://www.youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg,UCq3Ci-h945sbEYXpVlw7rJg,channel_id
49519,74304517-fb31-45b9-b3e9-16728fa66f7b,The Chad Mitchell Trio,https://music.youtube.com/channel/UC5fjSd478yzRtNo2qw8K_KQ,UC5fjSd478yzRtNo2qw8K_KQ,channel_id
793142,50d9d3ee-8947-4079-9d73-b01dd3e71d8a,The Cataracs,https://www.youtube.com/channel/UCxeEcd7CjidbCvHncsqpjJQ,UCxeEcd7CjidbCvHncsqpjJQ,channel_id
2809,a57505c9-6b43-4861-a498-fe00b349d591,Katrina and the Waves,https://www.youtube.com/channel/UCNUdOq4l_cr7SntFz-o8MbA,UCNUdOq4l_cr7SntFz-o8MbA,channel_id
