performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums,musicbrainz_artist_id,degree_centrality_top10_yearly,degree_centrality_firstsong_yearly,degree_centrality_top10_rolling10,degree_centrality_firstsong_rolling10,degree_centrality_top10_cumulative,degree_centrality_firstsong_cumulative,closeness_centrality_top10_yearly,closeness_centrality_firstsong_yearly,closeness_centrality_top10_rolling10,closeness_centrality_firstsong_rolling10,closeness_centrality_top10_cumulative,closeness_centrality_firstsong_cumulative,harmonic_closeness_centrality_top10_yearly,harmonic_closeness_centrality_firstsong_yearly,harmonic_closeness_centrality_top10_rolling10,harmonic_closeness_centrality_firstsong_rolling10,harmonic_closeness_centrality_top10_cumulative,harmonic_closeness_centrality_firstsong_cumulative,betweenness_centrality_top10_yearly,betweenness_centrality_firstsong_yearly,betweenness_centrality_top10_rolling10,betweenness_centrality_firstsong_rolling10,betweenness_centrality_top10_cumulative,betweenness_centrality_firstsong_cumulative,eigenvector_centrality_top10_yearly,eigenvector_centrality_firstsong_yearly,eigenvector_centrality_top10_rolling10,eigenvector_centrality_firstsong_rolling10,eigenvector_centrality_top10_cumulative,eigenvector_centrality_firstsong_cumulative
nav,NAV,2017.0,2023.0,2017.0,2025.0,2017-2025,7,13,8,0,2,1,5,2,6,4,8,Lemonade,6,Wanted You,64,7,78,Bad Habits,1,Perfect Timing,13,32,149,"french, black metal, folk, dance-pop, jungle, electropop, ghettotech, contemporary jazz, smooth jazz, drum and bass","black metal, folk, dance-pop, jungle, electropop, ghettotech, contemporary jazz, smooth jazz, drum and bass",2017.0,2020.0,,,2017.0,2017.0,2018.0,2019.0,"Boominati Worldwide, Republic Records, XO, Acrobat, Altissimo! Recordings, American Tapes, Digital Glamour Ent.",,,,False,False,False,,1.0,1.0,True,False,False,True,2756844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nazareth,Nazareth,1975.0,1980.0,1973.0,1982.0,1973-1982,9,2,13,0,0,1,0,1,1,1,3,Love Hurts,8,Love Hurts,8,23,26,Hair Of The Dog,17,Razamanaz,157,13,180,"hard rock, rock, soft rock, aor, 2008 universal fire victim, classic rock, choro, hip hop","hard rock, rock, soft rock, aor, classic rock, choro, hip hop",1975.0,1975.0,1975.0,,1973.0,1975.0,,,"A&M Records, Documents, Fontana",,,,True,False,False,0.0,,2.0,True,False,False,False,2906650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ne-yo,Ne-Yo,2005.0,2020.0,2006.0,2022.0,2005-2022,13,29,8,1,2,11,6,16,6,18,7,So Sick,1,So Sick,1,25,519,In My Own Words,1,In My Own Words,1,37,176,,,2005.0,2005.0,2005.0,2005.0,2006.0,2006.0,2006.0,2006.0,,,,,True,True,True,0.0,0.0,0.0,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ne-yo, afrojack & nayer","Ne-Yo, Afrojack & Nayer",2011.0,2011.0,,,2011-2011,1,1,0,1,0,1,0,1,0,1,0,Give Me Everything,1,Give Me Everything,1,45,45,,0,,0,0,0,,,2011.0,2011.0,2011.0,2011.0,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neckwav,Neckwav,2025.0,2025.0,,,2025-2025,1,3,0,0,0,2,0,2,0,2,0,Soda Pop,3,Soda Pop,3,25,51,,0,,0,0,0,,,2025.0,2025.0,2025.0,,,,,,,"pop, k-pop, bubblegum pop, musical, contemporary r&b",,"pop, k-pop, bubblegum pop, musical, contemporary r&b",True,False,True,0.0,,0.0,False,False,True,False,3025338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ned miller,Ned Miller,1962.0,1964.0,,,1962-1964,2,2,0,0,0,1,0,1,0,1,0,From A Jack To A King,6,From A Jack To A King,6,13,22,,0,,0,0,0,country,country,1962.0,1962.0,1962.0,,,,,,"Bear Family Records, Dot Records, Fabor",,,,True,False,True,0.0,,0.0,True,False,False,False,1753813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neil diamond,Neil Diamond,1966.0,1986.0,1967.0,2020.0,1966-2020,41,53,56,3,1,13,18,25,25,38,37,Cracklin' Rosie,1,"Cherry, Cherry",6,12,570,Home Before Dark,1,Just For You,80,19,1326,"singer-songwriter, pop, baroque pop, pop rock, soft rock, adult contemporary, rock, singer/songwriter, eddie rubin, carol hunter","singer-songwriter, pop, baroque pop, pop rock, soft rock, rock",1966.0,1966.0,1966.0,1970.0,1967.0,1970.0,1970.0,2008.0,"Metronome, [no label], Bang Records, Capitol Records, UNI Records",,,,True,False,True,0.0,3.0,0.0,False,False,True,True,2909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neil sedaka,Neil Sedaka,1958.0,1980.0,1974.0,2010.0,1958-2010,17,29,11,3,0,8,0,14,1,24,4,Breaking Up Is Hard To Do,1,The Diary,14,15,314,The Hungry Years,16,Sedaka's Back,23,62,153,"classic pop and rock, 2008 universal fire victim",,1958.0,1958.0,1959.0,1962.0,1974.0,1975.0,,,RCA Victor,,,,False,False,False,1.0,,1.0,False,False,True,False,4688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neil young,Neil Young,1970.0,1983.0,1969.0,2023.0,1969-2023,48,10,61,1,1,1,10,1,22,3,43,Heart Of Gold,1,Only Love Can Break Your Heart,33,12,76,Harvest,1,Everybody Knows This Is Nowhere,34,98,900,"rock, folk rock, country rock, folk, canadian, hard rock, country, classic rock, contemporary folk, singer/songwriter","rock, folk rock, country rock, folk, hard rock, country, classic rock, contemporary folk",1970.0,1972.0,1972.0,1972.0,1969.0,1970.0,1970.0,1972.0,"Duchesse, Reprise Records, Universe, Grapefruit Productions, Paramount Pictures, [no label], BMG Direct Marketing, Inc., Rolling Stone",,,,False,False,False,2.0,1.0,1.0,True,False,False,True,964.0,0.0067340067340067,0.00418410041841,0.0023847376788553,0.000852514919011,0.0013398838767306,0.0005032712632108,0.0067340067340067,0.00418410041841,0.0023847376788553,0.000852514919011,0.0013398838767306,0.0005032712632108,2.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,3.184709347842859e-06,0.0,1.7881083609631996e-06,0.0,1.1992785021178536e-15,1.762750668666315e-17,3.3119365142320416e-29,1.6474112494940685e-36,5.499011057772765e-44,2.8408165763311627e-145
nelly,Nelly,2000.0,2021.0,2000.0,2021.0,2000-2021,15,35,11,4,3,14,6,15,8,23,10,Dilemma,1,(Hot S**t) Country Grammar,7,34,577,Country Grammar,1,Country Grammar,1,104,324,"pop, hip hop, southern hip hop, pop rap, indie rock, singer-songwriter, folk, folk, comedian, surreal","pop, hip hop, southern hip hop, pop rap, indie rock, singer-songwriter, folk, folk",2000.0,2000.0,2000.0,2002.0,2000.0,2000.0,2000.0,2000.0,"BMG Direct, Fo’ Reel Entertainment, Motown",,,,True,True,True,0.0,0.0,0.0,False,False,True,True,2695405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nelly furtado,Nelly Furtado,2001.0,2023.0,2001.0,2012.0,2001-2023,7,11,5,3,1,5,1,6,1,6,4,Promiscuous,1,Turn Off The Light,5,25,165,Loose,1,"Whoa, Nelly!",24,79,164,"pop, folk, canadian, singer-songwriter, indie rock, eurodance, soft rock, alternative rock","pop, folk, singer-songwriter, indie rock, eurodance, soft rock, alternative rock",2001.0,2001.0,2001.0,2006.0,2001.0,2006.0,2006.0,2006.0,"DreamWorks Records, BMG Direct Marketing, Inc., Geffen Records, Interscope Records",,,,True,False,True,0.0,5.0,0.0,False,True,True,False,14310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nelson,Nelson,1990.0,1991.0,1990.0,1990.0,1990-1991,2,4,1,1,0,2,0,3,1,4,1,(Can't Live Without Your) Love And Affection,1,(Can't Live Without Your) Love And Affection,1,26,79,After The Rain,17,After The Rain,17,64,64,"country, outlaw country, jazz, aor, hi-nrg, rockabilly, art rock, new wave, art pop, country rock","country, outlaw country, jazz, aor, hi-nrg, rockabilly, art rock, new wave, art pop, country rock",1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,,,"DGC Records, Frontiers Records, Geffen Records",,,,True,False,True,0.0,,0.0,False,False,True,False,6798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nena,Nena,1983.0,1983.0,1984.0,1984.0,1983-1984,2,1,1,0,0,1,0,1,0,1,1,99 Luftballons,2,99 Luftballons,2,23,23,99 Luftballons,27,99 Luftballons,27,14,14,"pop, neue deutsche welle, neue deutsche welle, german, ndw, new wave, synth-pop, pop rock, new wave, pop","pop, neue deutsche welle, neue deutsche welle, new wave, synth-pop, pop rock, new wave, pop",1983.0,1983.0,1983.0,,1984.0,,,,"Arte France, BMG, BMG Rights Management GmbH",,,,True,False,True,0.0,,0.0,True,False,False,False,2534753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neneh cherry,Neneh Cherry,1989.0,1993.0,1989.0,1989.0,1989-1993,2,4,1,0,0,2,0,2,0,3,1,Buffalo Stance,3,Buffalo Stance,3,24,58,Raw Like Sushi,40,Raw Like Sushi,40,35,35,"swedish, pop rap, contemporary r&b, dance, singer-songwriter, hip hop, electronic, sweden, dance and electronica, 10s","pop rap, contemporary r&b, dance, singer-songwriter, hip hop, electronic",1989.0,1989.0,1989.0,,1989.0,,,,"Circa Records, Virgin, Virgin Schallplatten GmbH","electronic, pop",,"electronic, pop",True,False,True,0.0,,0.0,False,False,True,False,12387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neon trees,Neon Trees,2010.0,2014.0,2010.0,2014.0,2010-2014,4,4,3,0,0,1,1,2,2,2,2,Everybody Talks,6,Animal,13,36,92,Pop Psychology,6,Habits,113,16,46,"indie, utah, provo",,2010.0,2010.0,2012.0,,2010.0,2012.0,2014.0,,"Mercury Records, Ultra Records, The Island Def Jam Music Group, Island",,,,False,False,False,2.0,4.0,2.0,True,True,False,False,687281.0,0.0007147962830593,,0.000154130702836,,7.487832272557094e-05,,0.0431033554905408,,0.0884710683344741,,0.1134457815951857,,67.4529220779221,,629.8954406704396,,1584.3867049143864,,0.0,,0.0,,0.0,,0.001140697830719,,9.423738505807074e-08,,4.913277261469752e-09,
new edition,New Edition,1983.0,2004.0,1983.0,2017.0,1983-2017,11,16,9,0,1,4,2,5,4,10,7,Hit Me Off,3,Candy Girl,46,11,225,Home Again,1,Candy Girl,90,33,255,"pop, quiet storm, new jack swing, boy band, teen pop, pop soul, contemporary r&b, 2008 universal fire victim, pc music","pop, quiet storm, new jack swing, teen pop, pop soul, contemporary r&b",1983.0,1984.0,1984.0,,1983.0,1984.0,1984.0,1996.0,"London Records, Octave Lab., Streetwise, MCA Records, BMG Direct Marketing, Inc., Geffen Records",,r&b,r&b,False,False,False,1.0,1.0,1.0,False,False,True,True,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new kids on the block,New Kids On The Block,1988.0,2008.0,1988.0,2024.0,1988-2024,7,11,10,3,2,9,5,9,7,10,9,Hangin' Tough,1,You Got It (The Right Stuff),3,26,193,Hangin' Tough,1,Hangin' Tough,1,134,370,"pop, teen pop, dance-pop, pop rap, boy band","pop, teen pop, dance-pop, pop rap",1988.0,1988.0,1988.0,1989.0,1988.0,1988.0,1988.0,1988.0,"Big Step Management Inc., CBS, Columbia, CBS/Sony, CMV Enterprises",,,,True,True,True,0.0,0.0,0.0,False,False,True,True,2706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
next,Next,1997.0,2002.0,1997.0,2003.0,1997-2003,5,5,3,1,0,2,0,4,1,5,2,Too Close,1,Butta Love,16,23,137,Welcome II Nextasy,12,Rated Next,37,60,90,"doujin circle, boy group, doujin, punk, usa, texas, austin, hip hop rnb and dance hall, metal, doom metal","punk, metal, doom metal",1997.0,1997.0,1998.0,1998.0,1997.0,2000.0,,,"Arista, Divine Mill",,,,False,False,False,1.0,,1.0,False,False,True,False,2203978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick gilder,Nick Gilder,1978.0,1979.0,1978.0,1979.0,1978-1979,2,3,2,1,0,1,0,1,0,2,1,Hot Child In The City,1,Hot Child In The City,1,31,45,City Nights,33,City Nights,33,20,28,rock,rock,1978.0,1978.0,1978.0,1978.0,1978.0,,,,"Chrysalis, Razor & Tie",,,,True,False,True,0.0,,0.0,True,False,False,False,2910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick jonas,Nick Jonas,2010.0,2017.0,2014.0,2021.0,2010-2021,6,7,3,0,0,1,2,3,3,4,3,Jealous,7,Introducing Me,92,1,94,Last Year Was Complicated,2,Nick Jonas,6,46,66,"rock, pop","rock, pop",2010.0,2014.0,2014.0,,2014.0,2014.0,2014.0,,"Island, Safehouse Records, Universal Music Group",,,,False,True,False,4.0,0.0,4.0,True,False,False,True,960795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick lachey,Nick Lachey,2000.0,2006.0,2003.0,2006.0,2000-2006,3,3,2,0,0,1,1,1,1,1,1,What's Left Of Me,6,Where You Are,62,6,37,What's Left Of Me,2,SoulO,51,2,25,"pop, soul","pop, soul",2000.0,2006.0,2006.0,,2003.0,2006.0,2006.0,,"Jive, Zomba, Uni/Motown, Universal Records",,,,False,False,False,6.0,3.0,6.0,True,True,False,False,128912.0,,0.0012210012210012,0.0001885725061286,0.0002135383301302,9.676795045480936e-05,0.0001219809709685,,0.0012210012210012,0.0001885725061286,0.0002135383301302,9.676795045480936e-05,0.0001219809709685,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,1.5888730383853528e-27,9.85277946993879e-63,3.72310875245737e-112,7.283861993912106e-72,1.198219577488949e-67
nickelback,Nickelback,2001.0,2011.0,2000.0,2022.0,2000-2022,15,19,11,1,1,6,7,9,7,14,9,How You Remind Me,1,How You Remind Me,1,49,425,All The Right Reasons,1,The State,130,18,910,"hard rock, rock, post-grunge, pop rock, funk rock, electropop, death metal, alternative rock","hard rock, rock, post-grunge, pop rock, funk rock, electropop, death metal, alternative rock",2001.0,2001.0,2001.0,2001.0,2000.0,2001.0,2001.0,2005.0,"Roadrunner Records, Sum Records, BMG Direct Marketing, Inc., EMI Music Canada, BMG Direct","rock, pop rock, alternative rock, post-grunge, country rock, classic rock, alternative metal, metal",,"rock, pop rock, alternative rock, post-grunge, country rock, classic rock, alternative metal, metal",True,False,False,0.0,1.0,1.0,False,False,True,True,12068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicki french,Nicki French,1995.0,1995.0,1995.0,1995.0,1995-1995,1,1,1,0,0,1,0,1,0,1,0,Total Eclipse Of The Heart,2,Total Eclipse Of The Heart,2,27,27,Secrets,151,Secrets,151,4,4,"pop, eurodance, dance-pop, hi-nrg, europop","pop, eurodance, dance-pop, hi-nrg, europop",1995.0,1995.0,1995.0,,1995.0,,,,"Bags of Fun, Central Station, Critique Records",,,,True,False,True,0.0,,0.0,True,False,False,False,2070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicki minaj,Nicki Minaj,2010.0,2024.0,2010.0,2023.0,2010-2024,15,147,7,3,3,23,7,48,7,87,7,Say So,1,Bottoms Up,6,26,1539,Pink Friday,1,Pink Friday,1,77,413,"hip hop, electronic, queen of rap, pop, r&b, pop rap, 2010s, east coast hip hop, late 2000s","hip hop, electronic, pop, r&b, pop rap, east coast hip hop",2010.0,2010.0,2010.0,2020.0,2010.0,2010.0,2010.0,2010.0,"Atlantic, Cash Money Records, Island, Motown",,,,True,True,True,0.0,0.0,0.0,False,False,True,True,624088.0,0.0096660808435852,0.0096660808435852,0.0025466893039049,0.0025466893039049,0.0012322352747884,0.0012322352747884,0.0579995828333873,0.0579995828333873,0.1124679389472615,0.1124679389472615,0.1453080182574191,0.1453080182574191,79.3714285714286,79.3714285714286,766.3125374625353,766.3125374625353,1908.574938950106,1908.574938950106,0.0039478975101246,0.0039478975101246,0.0016997250051207,0.0016997250051207,0.0007090670476634,0.0007090670476634,0.0793967427711199,0.0793967427711199,9.02745381664266e-06,9.02745381664266e-06,5.729200325170475e-06,5.729200325170475e-06
nicky youre,Nicky Youre,2022.0,2022.0,,,2022-2022,1,1,0,0,0,1,0,1,0,1,0,Sunroof,4,Sunroof,4,32,32,,0,,0,0,0,"pop, teen pop","pop, teen pop",2022.0,2022.0,2022.0,,,,,,"Columbia, Thirty Knots",pop,,pop,True,False,True,0.0,,0.0,True,False,False,False,2277951.0,0.0003979307600477,0.0003979307600477,8.080155138978668e-05,8.080155138978668e-05,4.363763309478094e-05,4.363763309478094e-05,0.0003979307600477,0.0003979307600477,8.080155138978668e-05,8.080155138978668e-05,4.363763309478094e-05,4.363763309478094e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.562241804571947e-25,6.562241804571947e-25,7.882756900976444e-29,7.882756900976444e-29,1.3126894757172227e-75,1.3126894757172227e-75
nico & vinz,Nico & Vinz,2014.0,2014.0,2014.0,2014.0,2014-2014,1,2,1,0,0,1,0,1,0,1,1,Am I Wrong,4,Am I Wrong,4,31,43,Black Star Elephant,45,Black Star Elephant,45,6,6,"pop, hip hop, rhythm and blues, afrobeat","pop, hip hop, afrobeat",2014.0,2014.0,2014.0,,2014.0,,,,"5 Star Entertainment, EMI, Spinnin’ Records","pop, afrobeats, dance, hip hop, alternative pop",,"pop, afrobeats, dance, hip hop, alternative pop",True,False,True,0.0,,0.0,True,False,False,False,906610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicole,Nicole,1998.0,1999.0,1998.0,1998.0,1998-1999,2,2,1,0,0,1,0,1,0,1,1,Make It Hot,5,Make It Hot,5,23,37,Make It Hot,42,Make It Hot,42,9,9,"german, r&b, flutist, european, neo soul, smooth soul, schlager, indie pop, eurovision, drumless hip hop","r&b, neo soul, smooth soul, schlager, indie pop, drumless hip hop",1998.0,1998.0,1998.0,,1998.0,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,1513908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicole scherzinger,Nicole Scherzinger,2006.0,2011.0,,,2006-2011,3,5,0,0,0,1,0,2,0,3,0,Come To Me,9,Come To Me,9,20,55,,0,,0,0,0,"sexy, hip hop rnb and dance hall",,2006.0,2006.0,2006.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,403831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicolette larson,Nicolette Larson,1978.0,1982.0,1978.0,1982.0,1978-1982,5,4,4,0,0,1,0,1,1,3,2,Lotta Love,8,Lotta Love,8,19,48,Nicolette,15,Nicolette,15,37,80,"pop, country","pop, country",1978.0,1978.0,1978.0,,1978.0,1978.0,,,"Rhino Custom Products, Varèse Vintage Records, Warner Bros. Records",,,,True,False,True,0.0,,0.0,True,False,False,False,38298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night ranger,Night Ranger,1983.0,1988.0,1982.0,2014.0,1982-2014,8,11,7,0,0,2,1,5,2,6,4,Sister Christian,5,Don't Tell Me You Love Me,40,11,137,7 Wishes,10,Dawn Patrol,38,69,211,"hard rock, rock, glam metal, 2008 universal fire victim","hard rock, rock, glam metal",1983.0,1984.0,1984.0,,1982.0,1983.0,1985.0,,"Deadline Music, MCA Records, Camel Records Inc., Geffen Records","hard rock, rock, pop, arena rock, pop rock",,"hard rock, rock, pop, arena rock, pop rock",False,False,False,1.0,3.0,2.0,False,True,True,False,2690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nilsson,Nilsson,1969.0,1974.0,1969.0,1978.0,1969-1978,9,10,12,1,0,3,1,3,2,8,4,Without You,1,Everybody's Talkin',6,12,106,Nilsson Schmilsson,3,Harry,120,15,193,"pop, baroque pop, rock, pop rock, synth-pop, hypnagogic pop, psychedelic pop, singer-songwriter, ballad, pop","pop, baroque pop, rock, pop rock, synth-pop, hypnagogic pop, psychedelic pop, singer-songwriter, ballad, pop",1969.0,1969.0,1969.0,1971.0,1969.0,1971.0,1971.0,,"Camden, Castle Communications, RCA Victor, BMG, BMG Direct Marketing, Inc., BMG Japan, BMG Heritage",,,,True,False,True,0.0,2.0,0.0,False,True,True,False,2092865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nina sky,Nina Sky,2004.0,2004.0,2004.0,2004.0,2004-2004,1,1,1,0,0,1,0,1,0,1,1,Move Ya Body,4,Move Ya Body,4,26,26,Nina Sky,44,Nina Sky,44,12,12,"hip hop, dance-pop, latin, dancehall, contemporary r&b, r&b","hip hop, dance-pop, latin, dancehall, contemporary r&b, r&b",2004.0,2004.0,2004.0,,2004.0,,,,Universal Records,,,,True,False,True,0.0,,0.0,True,False,False,False,162474.0,0.0037688442211055,0.0037688442211055,0.0005978477481068,0.0005978477481068,0.0003149606299212,0.0003149606299212,0.0037688442211055,0.0037688442211055,0.0005978477481068,0.0005978477481068,0.0003149606299212,0.0003149606299212,3.0,3.0,3.0,3.0,3.0,3.0,2.518883726810151e-06,2.518883726810151e-06,1.993620256294005e-07,1.993620256294005e-07,1.0500892344357839e-07,1.0500892344357839e-07,2.7368996425098568e-14,2.7368996425098568e-14,2.760745623313661e-54,2.760745623313661e-54,8.453277696795039e-57,8.453277696795039e-57
nine days,Nine Days,2000.0,2000.0,2000.0,2000.0,2000-2000,1,2,1,0,0,1,0,1,0,1,0,Absolutely (Story Of A Girl),6,Absolutely (Story Of A Girl),6,27,32,The Madding Crowd,67,The Madding Crowd,67,19,19,"alternative rock, pop rock, alternative/indie rock, alternative pop/rock","alternative rock, pop rock",2000.0,2000.0,2000.0,,2000.0,,,,Epic,,,,True,False,True,0.0,,0.0,True,False,False,False,12605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nino tempo,Nino Tempo,1962.0,1967.0,,,1962-1967,5,8,0,1,0,1,0,2,0,4,0,Deep Purple,1,Sweet And Lovely,77,4,50,,0,,0,0,0,"traditional pop, saxophonist",traditional pop,1962.0,,,,,,,,,,,,False,False,False,,,,True,False,False,False,222033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nirvana,Nirvana,1991.0,2022.0,1991.0,2013.0,1991-2022,12,5,12,0,4,1,5,1,6,4,9,Smells Like Teen Spirit,6,Smells Like Teen Spirit,6,20,68,Nevermind,1,Nevermind,1,760,1095,"grunge, alternative rock, rock, noise rock, american, acoustic rock, seattle, sludge metal, 90s, progressive rock","grunge, alternative rock, rock, noise rock, acoustic rock, sludge metal, progressive rock",1991.0,1991.0,1991.0,,1991.0,1991.0,1991.0,1991.0,"DGC Records, Geffen Records, [no label], BMG Direct Marketing, Inc., Empress Valley Supreme Disc",,"grunge, alternative rock","grunge, alternative rock",True,True,True,0.0,0.0,0.0,True,False,False,True,1706467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitty gritty dirt band,Nitty Gritty Dirt Band,1970.0,1972.0,1967.0,2002.0,1967-2002,12,4,13,0,0,1,0,1,0,1,1,Mr. Bojangles,9,Mr. Bojangles,9,19,43,Stars & Stripes Forever,28,The Nitty Gritty Dirt Band,151,8,187,"country, country rock, bluegrass, folk rock, 2008 universal fire victim, traditional country, progressive bluegrass, folk","country, country rock, bluegrass, folk rock, traditional country, progressive bluegrass, folk",1970.0,1970.0,1970.0,,1967.0,,,,,,,,True,False,False,0.0,,3.0,True,False,False,False,11201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nivea,Nivea,2000.0,2018.0,2002.0,2005.0,2000-2018,7,6,2,0,0,1,0,2,0,3,1,Don't Mess With My Man,8,Danger (Been So Long),14,20,90,Complicated,37,Nivea,80,18,24,"hip hop, jazz, american, rnb, hip hop rnb and dance hall, folk, comedy, germany, punk, bremen","hip hop, jazz, folk, comedy, punk",2000.0,2000.0,2002.0,,2002.0,,,,Jive,,,,False,False,False,2.0,,2.0,True,False,False,False,52377.0,0.0036363636363636,0.0012210012210012,0.000821692686935,0.0002135383301302,0.000451467268623,0.0001219809709685,0.0036363636363636,0.0012210012210012,0.0713419680657041,0.0701756628762861,0.0953616862791981,0.0930697532029374,3.0,1.0,374.06488233987994,345.6833781414647,880.8582505729366,786.49296536795,9.720506031185643e-06,0.0,0.000348951881764,0.0,0.0002580717929274,0.0,3.2119844934443238e-27,1.5888730383853528e-27,3.0335114689150516e-08,1.034073804698343e-09,8.37865406530556e-10,6.273208192333271e-10
no doubt,No Doubt,1995.0,2012.0,1996.0,2012.0,1995-2012,8,8,6,0,1,3,5,4,5,7,5,Underneath It All,3,Just A Girl,23,29,154,Tragic Kingdom,1,Tragic Kingdom,1,91,275,"ska punk, alternative rock, pop rock, third wave ska, ska, pop, likedis auto, 2008 universal fire victim, rock, power pop","ska punk, alternative rock, pop rock, third wave ska, ska, pop, rock, power pop",1995.0,2001.0,2001.0,,1996.0,1996.0,1996.0,1996.0,"Interscope Records, MCA Records, Trauma Records, Polydor, BMG Direct Marketing, Inc.",,"rock, pop, reggae","rock, pop, reggae",False,True,False,6.0,0.0,1.0,False,False,True,True,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no mercy,No Mercy,1996.0,1997.0,1996.0,1996.0,1996-1997,2,4,1,0,0,1,0,1,0,3,0,Where Do You Go,5,Where Do You Go,5,39,80,No Mercy,104,No Mercy,104,22,22,"thrash metal, metal, usa, crossover thrash, heavy metal, metal, power metal, speed metal","thrash metal, metal, crossover thrash, heavy metal, metal, power metal, speed metal",1996.0,1996.0,1996.0,,1996.0,,,,"Arista, MCI, NN’B","pop, dance, dance-pop, club, euro house, electronic, mainstream rock, eurodance",,"pop, dance, dance-pop, club, euro house, electronic, mainstream rock, eurodance",True,False,True,0.0,,0.0,True,False,False,False,2853264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
