performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums
janet jackson,Janet Jackson,1982.0,2025.0,1982.0,2006.0,1982-2025,14,27,8,7,3,21,6,22,6,23,6,When I Think Of You,1,Young Love,64,6,467,Control,1,Janet Jackson,63,25,416,"pop, dance, contemporary r&b, r&b, female vocals, soul, quiet storm","pop, dance, contemporary r&b, r&b, soul, quiet storm",1982.0,1986.0,1986.0,1986.0,1982.0,1986.0,1986.0,1986.0,"A&M Records, AM:PM, BMG Direct Marketing, Inc., Breakout, Areito, Spectrum Music, PGP-RTB",,"pop, r&b","pop, r&b",False,False,False,4,4,4,False,False,True,True
janis ian,Janis Ian,1967.0,1981.0,1967.0,1981.0,1967-1981,7,3,8,0,1,1,1,2,2,2,4,At Seventeen,3,Society's Child (Baby I've Been Thinking),14,12,36,Between The Lines,1,Janis Ian,29,28,162,"folk, american, singer-songwriter, soft rock, contemporary folk, folk pop, classic pop and rock, queer","folk, singer-songwriter, soft rock, contemporary folk, folk pop",1967.0,1967.0,1975.0,,1967.0,1975.0,1975.0,1975.0,"CBS Special Products, Columbia, Rude Girl Records, CBS/Sony, Cooking Vinyl, Polydor, Verve Forecast, CBS, Boxstar Records",,,folk rock,False,False,False,8,8,8,True,True,False,False
janis joplin,Janis Joplin,1969.0,1972.0,1969.0,2012.0,1969-2012,8,5,8,1,1,1,3,1,3,3,4,Me And Bobby McGee,1,Kozmic Blues,41,9,36,Pearl,1,I Got Dem Ol' Kozmic Blues Again Mama!,5,28,156,"blues rock, psychedelic rock, rock, soul, acid rock, blues, 27 club, rhythm & blues, estados unidos, folk","blues rock, psychedelic rock, rock, soul, acid rock, blues, folk",1969.0,1971.0,1971.0,1971.0,1969.0,1969.0,1969.0,1971.0,"CBS, CBS/Sony, Columbia, Legacy",,,"rock, blues rock, classic rock, blues, country",False,True,True,2,0,0,True,False,False,True
jarreau,Jarreau,1983.0,1983.0,1976.0,1983.0,1976-1983,4,3,4,0,0,0,1,0,2,1,2,Mornin',21,Mornin',21,15,28,Breakin' Away,9,Glow,132,11,185,"vocal jazz, 1980s, 1970s, 2000s, soft rock, jazz-funk, soul jazz, smooth jazz, soul, smooth soul","vocal jazz, soft rock, jazz-funk, soul jazz, smooth jazz, soul, smooth soul",1983.0,,,,1976.0,1981.0,1981.0,,"Reprise Records, Rhino, WEA International, Mobile Fidelity Sound Lab, Warner Bros. Records",,,,False,False,False,,5,5,False,True,False,False
jars of clay,Jars Of Clay,1996.0,1996.0,1995.0,2013.0,1995-2013,12,1,13,0,0,0,1,0,1,1,5,Flood,37,Flood,37,19,19,Much Afraid,8,Jars Of Clay,46,70,162,"christian rock, christian, contemporary christian, ccm","christian rock, contemporary christian",1996.0,,,,1995.0,1997.0,1997.0,,"Brentwood Music, Essential Recordings, Essential Records, Form Records, Jive",,,,False,False,False,,2,2,False,True,False,False
jason aldean,Jason Aldean,2005.0,2025.0,2005.0,2025.0,2005-2025,20,44,13,1,4,2,10,7,12,26,13,Try That In A Small Town,1,Hicktown,68,13,750,Night Train,1,Jason Aldean,37,104,886,"country, country rock, country pop, contemporary country, bro-country","country, country rock, country pop, contemporary country, bro-country",2005.0,2009.0,2011.0,2023.0,2005.0,2007.0,2007.0,2012.0,"Broken Bow Records, Sony Music","country, contemporary country, country rock, pop, neo-traditional country",,"country, contemporary country, neo-traditional country",False,False,False,6,2,2,False,False,True,True
jason derulo,Jason Derulo,2009.0,2021.0,2010.0,2024.0,2009-2024,12,22,6,1,0,6,2,11,3,13,4,Whatcha Say,1,Whatcha Say,1,32,383,Talk Dirty,4,Jason Derulo,11,34,151,"r&b, pop, contemporary r&b, dance-pop, dance, 2010s, afro house, amapiano, hip hop, latin","r&b, pop, contemporary r&b, dance-pop, dance, afro house, amapiano, hip hop, latin",2009.0,2009.0,2009.0,2009.0,2010.0,2010.0,2014.0,,"Beluga Heights, Warner Bros. Records, Warner Music Denmark, Warner Music Sweden, Creator Records under exclusive license to Universal Music Romania, Mavin Records, Virgin, Warner Records, ByTz Records",,,,True,False,True,0,4,0,False,False,True,True
jason isbell,Jason Isbell,,,2013.0,2025.0,2013-2025,4,0,4,0,0,0,1,0,1,0,3,,0,,0,0,0,Something More Than Free,6,Southeastern,23,15,24,"country, alternative country, country rock, southern rock, classic country, rock, country, singer-songwriter","country, alternative country, country rock, southern rock, classic country, rock, country, singer-songwriter",,,,,2013.0,2015.0,2015.0,,"Southeastern Records, Spunk!, Thirty Tigers",,,,False,False,False,,2,2,False,True,False,False
jason isbell and the 400 unit,Jason Isbell And The 400 Unit,,,2009.0,2023.0,2009-2023,7,0,7,0,0,0,2,0,3,0,4,,0,,0,0,0,The Nashville Sound,4,Jason Isbell And The 400 Unit,131,1,13,country,country,,,,,2009.0,2017.0,2017.0,,"Lightning Rod, Lightning Rod Records, Southeastern Records, Blue Rose Records, Thirty Tigers",,,,False,False,False,,8,8,False,False,False,True
jason michael carroll,Jason Michael Carroll,2007.0,2010.0,2007.0,2011.0,2007-2011,4,4,3,0,0,0,1,0,1,0,2,Livin' Our Love Song,52,Livin' Our Love Song,52,17,41,Waitin' In The Country,8,Waitin' In The Country,8,38,45,country,country,2007.0,,,,2007.0,2007.0,2007.0,,,,,,False,True,True,,0,0,False,True,False,False
jason mraz,Jason Mraz,2003.0,2018.0,2003.0,2018.0,2003-2018,10,9,12,0,0,2,5,3,5,4,8,I'm Yours,6,The Remedy (I Won't Worry),15,28,188,Love Is A Four Letter Word,2,Waiting For My Rocket To Come,55,56,225,"pop rock, pop, singer/songwriter, adult contemporary, american, queer, music for soccer moms, acoustic rock","pop rock, pop, acoustic rock",2003.0,2003.0,2008.0,,2003.0,2005.0,2005.0,,"Elektra, Atlantic, Altanta International Records",,,,False,False,False,5,2,2,False,False,True,True
jay z kanye west,Jay Z Kanye West,2011.0,2012.0,2011.0,2011.0,2011-2012,2,5,1,0,1,1,1,2,1,3,1,Ni**as in Paris,5,Ni**as in Paris,5,36,74,Watch The Throne,1,Watch The Throne,1,66,66,,,2011.0,2011.0,2011.0,,2011.0,2011.0,2011.0,2011.0,,,,,True,True,True,0,0,0,True,True,False,False
jay-z,Jay-Z,1996.0,2022.0,1996.0,2017.0,1996-2022,22,76,20,2,12,14,14,25,15,38,19,Heartbreaker,1,Ain't No Nigga/Dead Presidents,50,20,851,Vol. 2... Hard Knock Life,1,Reasonable Doubt,23,18,558,"hip hop, goregrind, _private tag 1","hip hop, goregrind",1996.0,1997.0,1997.0,1999.0,2002.0,2002.0,2002.0,2004.0,,,,,False,True,False,1,0,1,False,False,True,True
jay-z/linkin park,Jay-Z/Linkin Park,2004.0,2004.0,2004.0,2004.0,2004-2004,1,1,1,0,1,0,1,1,1,1,1,Numb/Encore,20,Numb/Encore,20,20,20,MTV Ultimate Mash-Ups Presents: Collision Course,1,MTV Ultimate Mash-Ups Presents: Collision Course,1,26,26,,,2004.0,2004.0,,,2004.0,2004.0,2004.0,2004.0,,,,,False,True,True,,0,0,False,True,False,False
jazmine sullivan,Jazmine Sullivan,2008.0,2021.0,2008.0,2021.0,2008-2021,5,6,4,0,0,0,2,0,4,2,4,Bust Your Windows,31,Bust Your Windows,31,15,76,Heaux Tales,4,Fearless,6,34,79,"soul, hip hop rnb and dance hall, contemporary r&b","soul, contemporary r&b",2008.0,,,,2008.0,2008.0,2008.0,,J Records,,r&b,r&b,False,True,True,,0,0,False,False,False,True
jeezy,Jeezy,2009.0,2014.0,2014.0,2023.0,2009-2023,10,4,9,0,1,1,6,2,7,2,8,Hard,8,Hard,8,20,51,Trap Or Die 3,1,Seen It All: The Autobiography,2,16,46,"hip hop, southern hip hop, gangsta rap, hyphy, chopped and screwed, hustle, trap, trap rap","hip hop, southern hip hop, gangsta rap, hyphy, chopped and screwed, trap",2009.0,2009.0,2009.0,,2014.0,2014.0,2014.0,2016.0,"Def Jam Recordings, The Island Def Jam Music Group, [no label], CTE World, Corporate Thugz Entertainment","soul, r&b, pop, dance, pop rock",,"soul, r&b, pop, dance, pop rock",True,True,True,0,0,0,True,False,False,True
jeff beck,Jeff Beck,1985.0,2007.0,1968.0,2022.0,1968-2022,21,2,20,0,0,0,1,0,7,1,13,People Get Ready,48,People Get Ready,48,10,12,Blow By Blow,4,Truth,15,33,268,"rock, rock, blues rock, jazz rock, hard rock, jazz rock, guitar virtuoso, jeff beck, hard rock, rockabilly","rock, rock, blues rock, jazz rock, hard rock, jazz rock, hard rock, rockabilly",1985.0,,,,1968.0,1968.0,1975.0,,"Audio Fidelity, Columbia Records, EMI, Columbia, Castle Communications, Epic, Music on CD, Analogue Productions, Friday Music",,,,False,False,False,,7,7,False,True,False,False
jeff foxworthy,Jeff Foxworthy,1994.0,1996.0,1994.0,2004.0,1994-2004,8,2,10,0,0,0,1,0,1,0,5,Redneck Games,66,Redneck Stomp,75,10,20,Games Rednecks Play,8,You Might Be A Redneck If...,38,75,196,comedy,comedy,1994.0,,,,1994.0,1995.0,1995.0,,Warner Bros. Records,,,,False,False,False,,1,1,False,True,False,False
jefferson airplane,Jefferson Airplane,1967.0,1971.0,1967.0,1989.0,1967-1989,10,8,13,0,0,2,2,2,8,3,8,Somebody To Love,5,Somebody To Love,5,15,64,Surrealistic Pillow,3,Surrealistic Pillow,3,56,301,"psychedelic rock, folk rock, acid rock, rock, psychedelic pop, garage rock, psychedelic folk, english, california, united states","psychedelic rock, folk rock, acid rock, rock, psychedelic pop, garage rock, psychedelic folk",1967.0,1967.0,1967.0,,1967.0,1967.0,1967.0,,"BMG Special Products, Elap, RCA Victor, Abracadabra, Brilliant, Camden, BMG Heritage, BMG Japan",,,,True,True,True,0,0,0,False,False,True,True
jefferson starship,Jefferson Starship,1974.0,1984.0,1974.0,1984.0,1974-1984,11,17,10,0,1,2,4,5,6,11,10,Miracles,3,Ride The Tiger,84,5,186,Red Octopus,1,Dragonfly,11,37,340,"psychedelic rock, classic rock","psychedelic rock, classic rock",1974.0,1975.0,1975.0,,1974.0,1974.0,1975.0,1975.0,"Grunt, DCC Compact Classics, Legacy",,,,False,False,False,1,1,1,False,False,True,True
jelly roll,Jelly Roll,2022.0,2025.0,2020.0,2024.0,2020-2025,5,20,5,0,1,0,2,3,2,14,2,Need A Favor,13,Son Of A Sinner,31,28,370,Beautifully Broken,1,A Beautiful Disaster,97,1,162,"jazz, country rap, ragtime, hip hop, jazz, g-funk, west coast hip hop, jazz, new orleans jazz, big band","jazz, country rap, ragtime, hip hop, jazz, g-funk, west coast hip hop, jazz, big band",2022.0,2023.0,,,2020.0,2023.0,2023.0,2024.0,"It Goes Up Entertainment, War Dog, It Goes Up, BBR Music Group, Broken Bow Records, BMG",,,hip hop,False,False,False,,3,3,False,False,False,True
jennie,JENNIE,2023.0,2025.0,2025.0,2025.0,2023-2025,3,7,1,0,0,0,1,0,1,0,1,One Of The Girls,51,One Of The Girls,69,2,31,Ruby,7,Ruby,7,11,11,"k-pop, metal, gothic metal, vocalist, songwriter, pop, hip hop, 2020s, 3rd gen k-pop, swedish","k-pop, metal, gothic metal, pop, hip hop",2023.0,,,,2025.0,2025.0,2025.0,,"Apple Music, Columbia, Kakao Entertainment",,"pop, k-pop","pop, k-pop",False,True,False,,0,2,False,True,False,False
jennifer hudson,Jennifer Hudson,2007.0,2020.0,2008.0,2024.0,2007-2024,11,9,5,0,0,0,3,0,3,1,3,Spotlight,24,And I Am Telling You I'm Not Going,60,13,63,Jennifer Hudson,2,Jennifer Hudson,2,37,67,"contemporary r&b, soul, english, pop, pop soul, r&b, american idol","contemporary r&b, soul, pop, pop soul, r&b",2007.0,,,,2008.0,2008.0,2008.0,,Arista,,,,False,True,False,,0,1,False,False,False,True
jennifer lopez,Jennifer Lopez,1999.0,2018.0,1999.0,2024.0,1999-2024,18,31,13,4,2,10,8,14,10,18,11,If You Had My Love,1,If You Had My Love,1,25,392,J.Lo,1,On The 6,8,53,284,"pop, latin pop, dance-pop, pop rap, latin, reggaeton, electro house, electronic, contemporary r&b, dance","pop, latin pop, dance-pop, pop rap, latin, reggaeton, electro house, electronic, contemporary r&b, dance",1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2001.0,"Columbia, Epic, Handprint Entertainment, Catch & Release, BMG Direct Marketing, Inc.",,,,True,True,True,0,0,0,False,False,True,True
jennifer nettles,Jennifer Nettles,,,2014.0,2016.0,2014-2016,2,0,3,0,0,0,2,0,2,0,2,,0,,0,0,0,That Girl,5,That Girl,5,13,26,country,country,,,,,2014.0,2014.0,2014.0,,"Mercury Nashville, Mercury Records",,,,False,True,True,,0,0,False,False,False,True
jenny lewis,Jenny Lewis,,,2006.0,2023.0,2006-2023,5,0,5,0,0,0,1,0,1,0,3,,0,,0,0,0,Voyager,9,Rabbit Fur Coat,88,2,15,"rock, american, indie rock, united states","rock, indie rock",,,,,2006.0,2014.0,2014.0,,"Loves Way, Rough Trade, Team Love, Warner Bros. Records",,,,False,False,False,,8,8,False,True,False,False
jeremih,Jeremih,2009.0,2022.0,2009.0,2018.0,2009-2022,13,25,4,0,0,4,1,5,1,12,3,Birthday Sex,4,Birthday Sex,4,20,359,Jeremih,6,Jeremih,6,20,106,"contemporary r&b, soul, pop rap, wonky, alternative r&b","contemporary r&b, soul, pop rap, wonky, alternative r&b",2009.0,2009.0,2009.0,,2009.0,2009.0,2009.0,,Def Jam Recordings,,,,True,True,True,0,0,0,False,True,True,False
jermaine dupri,Jermaine Dupri,2001.0,2007.0,1998.0,2001.0,1998-2007,7,10,2,0,0,0,1,2,2,5,2,I Think They Like Me,15,Welcome To Atlanta,35,20,140,Jermaine Dupri Presents -- Life In 1472 The Original Soundtrack,3,Jermaine Dupri Presents -- Life In 1472 The Original Soundtrack,3,27,47,"hip hop, soul, contemporary r&b, pop rap, r&b","hip hop, soul, contemporary r&b, pop rap, r&b",2001.0,2003.0,,,1998.0,1998.0,1998.0,,,,,,False,True,True,,0,0,False,True,False,False
jermaine jackson,Jermaine Jackson,1972.0,1991.0,1972.0,1989.0,1972-1991,12,17,10,0,0,2,1,6,2,9,5,Daddy's Home,9,Daddy's Home,9,18,203,Let's Get Serious,6,Jermaine,27,59,221,"pop, soul, classic pop and rock, r&b, alliteration","pop, soul, r&b",1972.0,1972.0,1972.0,,1972.0,1980.0,1980.0,,"Arista, Legacy, Motown",,,,True,False,True,0,8,0,False,True,True,False
jerrod niemann,Jerrod Niemann,2010.0,2014.0,2010.0,2014.0,2010-2014,4,5,3,0,0,0,1,0,2,2,2,"Lover, Lover",29,"Lover, Lover",29,20,85,Judge Jerrod & The Hung Jury,7,Judge Jerrod & The Hung Jury,7,46,59,"country, contemporary country, bro-country","country, contemporary country, bro-country",2010.0,,,,2010.0,2010.0,2010.0,,"Arista Nashville, Sea Gayle Records",,,,False,True,True,,0,0,False,True,False,False
jessica simpson,Jessica Simpson,1999.0,2008.0,1999.0,2010.0,1999-2010,9,9,7,0,0,1,4,6,5,7,6,I Wanna Love You Forever,3,I Wanna Love You Forever,3,20,131,In This Skin,2,Sweet Kisses,25,62,178,"pop, pop and chart, teen pop","pop, teen pop",1999.0,1999.0,1999.0,,1999.0,2001.0,2001.0,,"Columbia, SME Records, Sony Records International","pop, traditional pop, pop rock, teen pop, ballad",,"pop, traditional pop, pop rock, teen pop, ballad",True,False,True,0,2,0,True,False,False,True
jessie j,Jessie J,2011.0,2015.0,2011.0,2014.0,2011-2015,3,6,2,0,0,2,1,2,2,3,2,Bang Bang,3,Domino,6,29,96,Sweet Talker,10,Who You Are,11,18,49,"pop, soul, r&b, contemporary r&b","pop, soul, r&b, contemporary r&b",2011.0,2011.0,2011.0,,2011.0,2011.0,2014.0,,"Lava, Republic Records, Universal Music Hong Kong, AZ, Island Records Group, Island",pop,,pop,True,False,True,0,3,0,False,True,True,False
jessie murph,Jessie Murph,2021.0,2025.0,2023.0,2025.0,2021-2025,5,11,5,0,0,0,2,2,2,4,4,Blue Strips,15,Always Been You,95,1,128,Sex Hysteria,8,Drowning,162,2,95,"country pop, country soul, 2020s","country pop, country soul",2021.0,2025.0,,,2023.0,2025.0,2025.0,,Columbia,,,,False,False,False,,2,4,False,False,False,True
jethro tull,Jethro Tull,1971.0,1977.0,1969.0,1999.0,1969-1999,22,7,27,0,2,0,7,2,13,2,17,Living In The Past,11,Hymn 43,91,2,55,Thick As A Brick,1,Stand Up,20,40,573,"progressive rock, folk rock, blues rock, hard rock, rock, progressive folk, classic rock, art rock, progressive","progressive rock, folk rock, blues rock, hard rock, rock, progressive folk, classic rock, art rock, progressive",1971.0,1972.0,,,1969.0,1969.0,1971.0,1972.0,"Analogue Productions, Chrysalis, Island, Capitol Records, EMI, BMG Direct Marketing, Inc.",,,blues,False,False,False,,2,2,False,False,False,True
jewel,Jewel,1996.0,2008.0,1996.0,2015.0,1996-2015,12,8,12,0,0,2,6,4,7,5,10,Foolish Games/You Were Meant For Me,2,Foolish Games/You Were Meant For Me,2,65,169,0304,2,Pieces Of You,4,114,276,"hip hop, pop, political hip hop, hardcore hip hop, experimental hip hop, folk, k-pop, girl group, dance-pop, new zealand","hip hop, pop, political hip hop, hardcore hip hop, experimental hip hop, folk, k-pop, dance-pop",1996.0,1996.0,1996.0,,1996.0,1996.0,1996.0,,"Atlantic, BMG Direct Marketing, Inc., Craft Recordings",,,,True,True,True,0,0,0,False,False,True,True
jhene aiko,Lil Wayne & Jhene Aiko,2013.0,2025.0,2013.0,2024.0,2013-2025,10,17,6,0,0,0,4,1,4,7,4,Post To Be,13,Beware,38,20,192,Chilombo,2,Sail Out (EP),8,46,216,,,2013.0,,,,,,,,,,,,False,False,False,,,,False,False,False,True
jill scott,Jill Scott,2001.0,2011.0,2000.0,2015.0,2000-2015,6,3,8,0,2,0,4,0,6,1,8,A Long Walk,43,A Long Walk,43,19,40,The Light Of The Sun,1,Who Is Jill Scott? Words And Sounds Vol. 1,17,70,183,"soul, neo soul, hip hop rnb and dance hall, r&b, contemporary r&b","soul, neo soul, r&b, contemporary r&b",2001.0,,,,2000.0,2000.0,2004.0,2011.0,Hidden Beach Recordings,,"r&b, neo soul","r&b, neo soul",False,False,False,,4,4,False,False,False,True
jim croce,Jim Croce,1972.0,1976.0,1972.0,2011.0,1972-2011,7,10,7,2,1,5,4,6,4,8,4,"Bad, Bad Leroy Brown",1,You Don't Mess Around With Jim,8,13,128,You Don't Mess Around With Jim,1,You Don't Mess Around With Jim,1,93,307,"folk, american, singer/songwriter",folk,1972.0,1972.0,1972.0,1973.0,1972.0,1972.0,1972.0,1972.0,"BMG, R2M Music",,,,True,True,True,0,0,0,False,False,True,True
jim johnston,Jim Johnston,,,1999.0,2002.0,1999-2002,3,0,3,0,0,0,2,0,3,0,3,,0,,0,0,0,World Wrestling Federation: WWF The Music Volume 5,2,World Wrestling Federation: WWF The Music Volume 4,4,22,45,"alternative, rock",rock,,,,,1999.0,1999.0,1999.0,,,,,,False,True,True,,0,0,False,False,False,True
jim jones,Jim Jones,2006.0,2008.0,2005.0,2019.0,2005-2019,7,2,7,0,0,1,3,1,5,2,5,We Fly High,5,We Fly High,5,27,47,Harlem: Diary Of A Summer,5,Harlem: Diary Of A Summer,5,11,49,"hip hop, alliteration",hip hop,2006.0,2006.0,2006.0,,2005.0,2005.0,2005.0,,"KOCH Records, eOne","hip hop, east coast hip hop",,,True,True,True,0,0,0,True,False,False,True
jimi hendrix,Jimi Hendrix,1967.0,1971.0,1967.0,2018.0,1967-2018,26,3,36,0,0,0,7,0,9,0,14,Freedom,59,Foxey Lady,67,4,19,"People, Hell And Angels",2,Are You Experienced?,5,106,623,"blues rock, psychedelic rock, blues rock, psychedelic rock, acid rock, rock, hard rock, hard rock, acid rock, american","blues rock, psychedelic rock, blues rock, psychedelic rock, acid rock, rock, hard rock, hard rock, acid rock",1967.0,,,,1967.0,1967.0,1967.0,,"Experience Hendrix, MCA Records, MCA Records Canada",,,,False,True,True,,0,0,False,False,False,True
jimin,Jimin,2023.0,2024.0,2023.0,2024.0,2023-2024,2,6,2,1,0,1,2,2,2,3,2,Like Crazy,1,Like Crazy,1,5,43,FACE (EP),2,FACE (EP),2,7,41,"downtempo, instrumental, piano, lo-fi, chillwave, instrumental hip hop, lo-fi hip hop, pop, ballad, dance-pop","downtempo, instrumental, lo-fi, chillwave, instrumental hip hop, lo-fi hip hop, pop, ballad, dance-pop",2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,,BIGHIT MUSIC,,,,True,True,True,0,0,0,True,False,False,True
jimmy buffett,Jimmy Buffett,1974.0,2011.0,1974.0,2023.0,1974-2023,37,13,40,0,1,1,14,3,18,7,26,Margaritaville,8,Come Monday,30,14,152,License To Chill,1,Living And Dying In 3/4 Time,176,13,673,"country, soft rock, country rock, caribbean music, singer-songwriter, calypso, singer/songwriter, 2008 universal fire victim, folk rock, pop rock","country, soft rock, country rock, singer-songwriter, calypso, folk rock, pop rock",1974.0,1977.0,1977.0,,1974.0,1977.0,1978.0,2004.0,"Dunhill Records, MCA Records, ABC Records, Collectables, Dunhill ABC, Geffen Records",,"singer-songwriter, country rock, tropical rock",calypso,False,False,False,3,4,3,True,False,False,True
jimmy eat world,Jimmy Eat World,2002.0,2005.0,2001.0,2019.0,2001-2019,9,3,8,0,0,1,2,1,5,1,6,The Middle,5,The Middle,5,33,49,Chase This Light,5,Bleed America,31,70,119,"alternative rock, emo, pop punk, power pop, emo pop, pop rock, emo-pop, indie rock, 2008 universal fire victim, powerpop","alternative rock, emo, pop punk, power pop, emo pop, pop rock, indie rock",2002.0,2002.0,2002.0,,2001.0,2004.0,2004.0,,"DreamWorks Records, Geffen Records, Grand Royal, Exotic Location Recordings, Interscope Records, Tiny Evil",,,,True,False,False,0,3,1,True,False,False,True
jimmy page,Jimmy Page,1998.0,1998.0,1982.0,2000.0,1982-2000,5,1,5,0,0,1,2,1,2,1,4,Come With Me,4,Come With Me,4,20,20,No Quarter,4,Death Wish II,50,10,75,"rock, english, rock, british, uk, rock, heavy metal, country, alternative, jazz rock","rock, rock, rock, heavy metal, country, jazz rock",1998.0,1998.0,1998.0,,1982.0,,,,"Centropolis Entertainment, Epic, Sony Music Soundtrax",,,,True,False,False,0,,16,True,False,False,True
jin,JIN,2022.0,2025.0,2004.0,2025.0,2004-2025,4,3,3,0,0,0,2,0,2,0,2,The Astronaut,51,The Astronaut,51,1,3,Echo,3,The Rest Is History,54,3,8,"progressive metal, groove metal, metalcore, metal, death metal, hip-hop, hip hop, k-pop, oc remixer, melodic death metal","progressive metal, groove metal, metalcore, metal, death metal, hip hop, k-pop, melodic death metal",2022.0,,,,2024.0,2024.0,2024.0,,,,,,False,True,False,,0,20,False,False,False,True
jo dee messina,Jo Dee Messina,1998.0,2005.0,1996.0,2014.0,1996-2014,11,10,8,0,0,0,1,0,3,7,3,That's The Way,25,Stand Beside Me,34,20,176,Delicious Surprise,7,Jo Dee Messina,146,5,217,"country, country pop, contemporary country","country, country pop, contemporary country",1998.0,,,,1996.0,2000.0,2005.0,,Curb Records,,,country,False,False,False,,9,9,False,True,False,False
joan jett & the blackhearts,Joan Jett & the Blackhearts,1982.0,1988.0,1981.0,2013.0,1981-2013,8,8,8,1,0,3,1,5,3,7,4,I Love Rock 'N Roll,1,I Love Rock 'N Roll,1,20,120,I Love Rock 'n' Roll,2,I Love Rock 'n' Roll,2,59,188,"hard rock, rock, power pop, glam rock, female vocals, classic rock, album rock, arena rock, glam punk, rock & roll","hard rock, rock, power pop, glam rock, classic rock, arena rock, glam punk",1982.0,1982.0,1982.0,1982.0,1981.0,1981.0,1981.0,,"The Media Champ, Bellaphon, The Boardwalk Entertainment Co, Blackheart Records, Mercury Records, Reprise Records","hard rock, classic rock, rock, punk, arena rock, rock and roll",,,True,True,True,0,0,0,False,True,True,False
joan osborne,Joan Osborne,1995.0,1995.0,1995.0,2012.0,1995-2012,5,1,5,0,0,1,1,1,1,1,1,One Of Us,4,One Of Us,4,22,22,Relish,9,Relish,9,56,64,"rock, pop, folk, blues rock, country rock","rock, pop, folk, blues rock, country rock",1995.0,1995.0,1995.0,,1995.0,1995.0,1995.0,,"Artemis Strategic, Blue Gorilla, Mercury Records, BMG Direct Marketing, Inc., Island Mercury",,,,True,True,True,0,0,0,True,True,False,False
jodeci,Jodeci,1991.0,1996.0,1991.0,2015.0,1991-2015,8,11,5,0,0,1,2,4,3,9,5,Lately,4,Forever My Lady,25,20,207,"The Show, The After Party, The Hotel",2,Forever My Lady,18,83,177,"quiet storm, new jack swing, hip hop rnb and dance hall, hip hop soul, pop soul, contemporary r&b, 2008 universal fire victim","quiet storm, new jack swing, hip hop soul, pop soul, contemporary r&b",1991.0,1992.0,1993.0,,1991.0,1991.0,1994.0,,"Geffen Records, MCA Records, Uptown Records",,,"soul, r&b, pop",False,False,False,2,3,2,True,False,False,True
jody watley,Jody Watley,1987.0,1998.0,1987.0,1993.0,1987-1998,8,13,5,0,0,6,1,7,2,7,2,Looking For A New Love,2,Looking For A New Love,2,19,186,Jody Watley,10,Jody Watley,10,74,138,"soul, dance, house, hip hop, dance-pop, adult contemporary, new jack swing, contemporary r&b, pop, 2008 universal fire victim","soul, dance, house, hip hop, dance-pop, new jack swing, contemporary r&b, pop",1987.0,1987.0,1987.0,,1987.0,1987.0,1987.0,,"Avitone Recordings, Curvve Recordings, MCA Records",,,,True,True,True,0,0,0,False,True,True,False
joe,Joe,1964.0,2007.0,1993.0,2016.0,1964-2016,19,16,14,2,0,4,6,6,9,9,11,Thank God I Found You,1,I See You,82,2,287,My Name Is Joe,2,Everything,105,11,218,"rock, rock, alternative rock, boom bap, hip hop, blues rock, drum and bass, jazz, jazz, hip hop","rock, rock, alternative rock, boom bap, hip hop, blues rock, drum and bass, jazz, jazz, hip hop",1964.0,1996.0,1998.0,2001.0,1993.0,1997.0,2000.0,,"[no label], Mercury Records, Def Jam Music Group, Banner, Columbia, Decca Records, Jive, Zomba",,,,False,False,False,34,7,34,False,False,True,True
joe bonamassa,Joe Bonamassa,,,2007.0,2021.0,2007-2021,14,0,22,0,0,0,1,0,2,0,10,,0,,0,0,0,Different Shades Of Blue,8,Sloe Gin,184,1,39,"blues rock, blues, usa, rock, electric blues, english, englisch","blues rock, blues, rock, electric blues",,,,,2007.0,2014.0,2014.0,,"J&R Adventures, Provogue, tearbridge international, Mascot Records",,,,False,False,False,,7,7,False,True,False,False
