performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks
june valli,June Valli,1958,1960,0,0,1958-1960,3,3,0,0,0,0,0,0,0,2,0,Apple Green,29,The Wedding,43,13,31,,0,,0,0,0
jung kook,Jung Kook,2022,2024,2023,2023,2022-2024,3,7,1,1,0,3,1,3,1,5,1,Seven,1,Left And Right,22,17,68,Golden,2,Golden,2,25,25
jung tru & king jacob,Jung Tru & King Jacob,2005,2005,0,0,2005-2005,1,1,0,0,0,0,0,0,0,1,0,Errtime,24,Errtime,24,6,6,,0,,0,0,0
junge suddeutsche philharmonia (guller),Junge Suddeutsche Philharmonia (Guller),0,0,1996,1996,1996-1996,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Beethoven: Symphony No. 5,174,Beethoven: Symphony No. 5,174,1,1
jungle,Jungle,0,0,2014,2023,2014-2023,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Jungle,84,Jungle,84,1,3
junior,Junior,1982,2007,1982,1983,1982-2007,3,2,2,0,0,0,0,1,0,2,0,Sexy Lady,18,Mama Used To Say,30,13,33,Ji,71,Ji,71,16,22
junior h,Junior H,2023,2024,2021,2023,2021-2024,4,6,3,0,0,0,0,0,1,2,1,Luna,30,Luna,30,5,37,$ad Boyz 4 Life II,14,$ad Boyz 4 Life,192,1,124
junior h x peso pluma,Junior H x Peso Pluma,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,0,0,El Azul,55,El Azul,55,16,16,,0,,0,0,0
junior m.a.f.i.a.,Junior M.A.F.I.A.,1995,1996,1995,1995,1995-1996,2,2,1,0,0,0,1,2,1,2,1,Player's Anthem,13,Player's Anthem,13,20,40,Conspiracy,8,Conspiracy,8,31,31
junior parker,Junior Parker,1961,1963,0,0,1961-1963,2,2,0,0,0,0,0,0,0,0,0,Driving Wheel,85,Driving Wheel,85,2,3,,0,,0,0,0
junior reid,Junior Reid,2006,2006,0,0,2006-2006,1,1,0,0,0,0,0,0,0,0,0,It's Okay (One Blood),71,It's Okay (One Blood),71,15,15,,0,,0,0,0
junior senior,Junior Senior,0,0,2003,2003,2003-2003,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,D-D-Don't Don't Stop The Beat,94,D-D-Don't Don't Stop The Beat,94,4,4
junip,Junip,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Junip,177,Junip,177,1,1
junk band,Junk Band,1966,1966,0,0,1966-1966,1,1,0,0,0,0,0,0,0,0,0,The Eggplant That Ate Chicago,52,The Eggplant That Ate Chicago,52,7,7,,0,,0,0,0
junkie xl,Junkie XL,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Mad Max: Fury Road (Soundtrack),134,Mad Max: Fury Road (Soundtrack),134,3,3
junkyard,Junkyard,0,0,1989,1989,1989-1989,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Junkyard,105,Junkyard,105,11,11
jurassic 5,Jurassic 5,0,0,2000,2006,2000-2006,3,0,3,0,0,0,0,0,2,0,3,,0,,0,0,0,Power In Numbers,15,Quality Control,43,15,35
jussie smollett,Estelle & Jussie Smollett,2015,2015,0,0,2015-2015,1,3,0,0,0,0,0,0,0,2,0,Conqueror,42,Conqueror,42,2,7,,0,,0,0,0
just us,Just Us,1966,1966,0,0,1966-1966,1,1,0,0,0,0,0,0,0,1,0,I Can't Grow Peaches On A Cherry Tree,34,I Can't Grow Peaches On A Cherry Tree,34,11,11,,0,,0,0,0
justice,Justice,2025,2025,2011,2024,2011-2025,4,1,3,0,0,0,0,0,0,1,1,Wake Me Up,45,Wake Me Up,45,1,1,"Audio, Video, Disco",37,"Audio, Video, Disco",37,1,3
justin bieber,Justin Bieber,2009,2025,2009,2025,2009-2025,15,120,12,8,8,27,11,42,11,68,11,Love Yourself,1,One Less Lonely Girl,16,16,1188,My World 2.0,1,My World (EP),5,90,801
justin bieber & ink,Justin Bieber & Ink,2019,2019,0,0,2019-2019,1,1,0,0,0,0,0,0,0,0,0,Don't Check On Me,67,Don't Check On Me,67,1,1,,0,,0,0,0
justin bieber + bloodpop,Justin Bieber + BloodPop,2017,2017,0,0,2017-2017,1,1,0,0,0,0,0,1,0,1,0,Friends,20,Friends,20,10,10,,0,,0,0,0
justin bieber duet,Justin Bieber Duet,2011,2011,0,0,2011-2011,1,1,0,0,0,0,0,0,0,0,0,All I Want For Christmas Is You (SuperFestive!),86,All I Want For Christmas Is You (SuperFestive!),86,1,1,,0,,0,0,0
justin furstenfeld,Justin Furstenfeld,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Songs From An Open Book,45,Songs From An Open Book,45,1,1
justin guarini,Justin Guarini,0,0,2003,2003,2003-2003,1,0,1,0,0,0,0,0,1,0,1,,0,,0,0,0,Justin Guarini,20,Justin Guarini,20,5,5
justin hayward,Justin Hayward,1975,1978,1975,2013,1975-2013,5,3,4,0,0,0,0,0,1,2,2,I Dreamed Last Night,47,I Dreamed Last Night,47,7,25,Blue Jays,16,Blue Jays,16,23,45
justin moore,Justin Moore,2009,2026,2009,2023,2009-2026,15,17,7,0,0,0,4,0,4,7,5,"You, Me, & Whiskey",37,Small Town USA,44,20,238,Off The Beaten Path,2,Justin Moore,10,35,151
justin nozuka,Justin Nozuka,0,0,2010,2010,2010-2010,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,You I Wind Land And Sea,118,You I Wind Land And Sea,118,1,1
justin quiles,Justin Quiles,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,0,0,Ojos Ferrari,95,Ojos Ferrari,95,1,1,,0,,0,0,0
justin timberlake,Justin Timberlake,2002,2024,2002,2024,2002-2024,17,37,6,5,4,19,6,24,6,28,6,My Love,1,Cry Me A River,3,20,630,FutureSex/LoveSounds,1,Justified,2,84,335
justin timberlake & t .i.,Justin Timberlake & T .I.,2010,2010,0,0,2010-2010,1,1,0,0,0,0,0,0,0,1,0,Winner,28,Winner,28,11,11,,0,,0,0,0
justin timberlake duet,Justin Timberlake Duet,2007,2007,0,0,2007-2007,1,1,0,0,0,0,0,1,0,1,0,Until The End Of Time,17,Until The End Of Time,17,25,25,,0,,0,0,0
justin townes earle,Justin Townes Earle,0,0,2010,2017,2010-2017,4,0,4,0,0,0,0,0,0,0,1,,0,,0,0,0,Harlem River Blues,47,Harlem River Blues,47,2,5
justine washington,Justine Washington,1964,1964,0,0,1964-1964,1,1,0,0,0,0,0,0,0,0,0,I Can't Wait Until I See My Baby,93,I Can't Wait Until I See My Baby,93,3,3,,0,,0,0,0
juvenile,Juvenile,1999,2005,1998,2010,1998-2010,9,11,10,1,1,1,4,2,4,6,7,Slow Motion,1,Back That Thang Up,19,30,190,Reality Check,1,400 Degreez,9,100,216
jvke,JVKE,2022,2023,2022,2022,2022-2023,2,2,1,0,0,1,0,1,0,1,1,Golden Hour,10,Golden Hour,10,33,35,This Is What ____ Feels Like (Vol.1-4),40,This Is What ____ Feels Like (Vol.1-4),40,43,43
jxdn,jxdn,0,0,2021,2021,2021-2021,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Tell Me About Tomorrow,95,Tell Me About Tomorrow,95,1,1
k,K,0,0,1968,1969,1968-1969,2,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Incredible Kaleidoscope,139,John W. Anderson Presents KaSandra,142,8,22
k camp,K Camp,2014,2015,2015,2021,2014-2021,4,2,3,0,0,0,0,0,1,0,2,Comfortable,54,Made Me,93,3,18,Only Way Is Up,20,Only Way Is Up,20,9,15
k'jon,K'Jon,2009,2009,2009,2009,2009-2009,1,1,1,0,0,0,0,0,1,0,1,On The Ocean,96,On The Ocean,96,2,2,I Get Around,12,I Get Around,12,15,15
k'naan,K'Naan,2009,2012,2009,2012,2009-2012,2,2,2,0,0,0,0,0,0,0,1,Wavin' Flag,82,Wavin' Flag,82,7,9,Troubadour,32,Troubadour,32,4,5
k's choice,K's Choice,0,0,1997,1997,1997-1997,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Paradise In Me,121,Paradise In Me,121,16,16
k-9 posse,K-9 Posse,0,0,1989,1989,1989-1989,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,K-9 Posse,98,K-9 Posse,98,14,14
k-ci,K-Ci And JoJo,1996,2000,1997,2013,1996-2013,8,9,6,2,0,3,2,4,3,7,3,How Do U Want It/California Love,1,How Do U Want It/California Love,1,24,190,Love Always,6,Love Always,6,90,166
k-ci hailey,K-Ci Hailey,1995,1995,0,0,1995-1995,1,1,0,0,0,0,0,1,0,1,0,If You Think You're Lonely Now,17,If You Think You're Lonely Now,17,16,16,,0,,0,0,0
k-nock,K-Nock,1995,1995,0,0,1995-1995,1,1,0,0,0,0,0,0,0,0,0,Freak Me Baby,60,Freak Me Baby,60,18,18,,0,,0,0,0
k-os,K-OS,0,0,2007,2007,2007-2007,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Atlantis: Hymns For Disco,152,Atlantis: Hymns For Disco,152,1,1
k-paz de la sierra,K-Paz De La Sierra,0,0,2004,2008,2004-2008,5,0,5,0,0,0,0,0,0,0,0,,0,,0,0,0,Mas Capaces Que Nunca,70,Pensando En Ti,119,3,30
k-solo,K-Solo,1996,1996,1992,1992,1992-1996,2,1,1,0,0,0,0,0,0,0,0,That's How It Is (It's Like That),95,That's How It Is (It's Like That),95,2,2,Time's Up,135,Time's Up,135,2,2
k. anderson,K. Anderson,1993,1993,0,0,1993-1993,1,1,0,0,0,0,0,0,0,1,0,Very Special,31,Very Special,31,20,20,,0,,0,0,0
k. michelle,K. Michelle,2013,2014,2013,2020,2013-2020,5,2,5,0,0,0,3,0,3,0,3,V.S.O.P.,89,V.S.O.P.,89,4,11,Rebellious Soul,2,Rebellious Soul,2,24,46
k.c.,K.C.,1979,1980,0,0,1979-1980,2,2,0,0,0,1,0,1,0,1,0,"Yes, I'm Ready",2,"Yes, I'm Ready",2,23,29,,0,,0,0,0
k.d. lang,k.d. lang,1992,2010,1988,2010,1988-2010,11,2,12,0,0,0,1,0,2,1,7,Constant Craving,38,Constant Craving,38,19,20,Watershed,8,Shadowland,73,25,231
k.d. lang & the reclines,k.d. lang & The Reclines,0,0,1989,1989,1989-1989,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Absolute Torch And Twang,69,Absolute Torch And Twang,69,56,56
k.d. lang and the siss boom bang,k.d. lang And The Siss Boom Bang,0,0,2011,2011,2011-2011,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Sing It Loud,32,Sing It Loud,32,5,5
k.flay,k.flay,0,0,2014,2017,2014-2017,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Every Where Is Some Where,118,Life As A Dog,133,1,2
k.m.c. kru,K.M.C. KRU,1991,1991,0,0,1991-1991,1,1,0,0,0,0,0,0,0,1,0,The Devil Came Up To Michigan,46,The Devil Came Up To Michigan,46,14,14,,0,,0,0,0
k.p. & envyi,K.P. & Envyi,1997,1997,0,0,1997-1997,1,1,0,0,0,1,0,1,0,1,0,Swing My Way,6,Swing My Way,6,20,20,,0,,0,0,0
k.t. oslin,K.T. Oslin,0,0,1987,1993,1987-1993,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,80's Ladies,68,80's Ladies,68,32,117
k.t.p.,K.T.P.,1987,1987,0,0,1987-1987,1,1,0,0,0,0,0,0,0,0,0,Certain Things Are Likely,97,Certain Things Are Likely,97,4,4,,0,,0,0,0
k.w.s.,K.W.S.,1992,1992,1992,1992,1992-1992,1,1,1,0,0,1,0,1,0,1,0,Please Don't Go,6,Please Don't Go,6,26,26,Please Don't Go,143,Please Don't Go,143,5,5
k/da,K/DA,0,0,2020,2020,2020-2020,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,All Out (EP),176,All Out (EP),176,1,1
k5,K5,1997,1997,0,0,1997-1997,1,1,0,0,0,0,0,0,0,0,0,Passion,98,Passion,98,3,3,,0,,0,0,0
k7,K7,1993,1995,1994,1994,1993-1995,3,3,1,0,0,0,0,1,0,1,0,Come Baby Come,18,Come Baby Come,18,21,56,Swing Batta Swing,96,Swing Batta Swing,96,33,33
kacey cisyk/original cast,Kacey Cisyk/Original Cast,1977,1977,0,0,1977-1977,1,1,0,0,0,0,0,0,0,0,0,You Light Up My Life,80,You Light Up My Life,80,4,4,,0,,0,0,0
kacey musgraves,Kacey Musgraves,2012,2024,2013,2024,2012-2024,10,6,7,1,0,1,5,1,5,1,6,I Remember Everything,1,Merry Go 'round,63,15,72,Same Trailer Different Park,2,Same Trailer Different Park,2,72,207
kai,KAI,1997,2016,0,0,1997-2016,2,2,0,0,0,0,0,1,0,1,0,Never Be Like You,20,Say You'll Stay,59,19,45,,0,,0,0,0
kai winding & orchestra,Kai Winding & Orchestra,1963,1963,0,0,1963-1963,1,1,0,0,0,1,0,1,0,1,0,More,8,More,8,15,15,,0,,0,0,0
kaiser chiefs,Kaiser Chiefs,0,0,2005,2008,2005-2008,3,0,3,0,0,0,0,0,0,0,1,,0,,0,0,0,"Yours Truly, Angry Mob",45,Employment,86,7,15
kaja,Kaja,0,0,1985,1985,1985-1985,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Extra Play,185,Extra Play,185,4,4
kajagoogoo,Kajagoogoo,1983,1983,1983,1983,1983-1983,1,2,1,0,0,1,0,1,0,1,1,Too Shy,5,Too Shy,5,19,23,White Feathers,38,White Feathers,38,20,20
kaki king,Kaki King,0,0,2012,2012,2012-2012,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Glow,186,Glow,186,1,1
kalenna,Kalenna,2009,2009,0,0,2009-2009,1,1,0,0,0,0,0,0,0,0,0,Shake My,75,Shake My,75,3,3,,0,,0,0,0
kaleo,KALEO,2017,2017,2016,2021,2016-2021,3,1,2,0,0,0,0,0,1,0,1,Way Down We Go,54,Way Down We Go,54,8,8,A / B,16,A / B,16,36,37
kali,Kali,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,1,0,Area Codes,33,Area Codes,33,8,8,,0,,0,0,0
kali uchis,Kali Uchis,2018,2025,2018,2025,2018-2025,5,10,5,0,0,0,3,0,3,5,4,Igual Que Un Angel,22,Get You,93,6,119,Orquideas,2,Isolation,32,5,69
kaliii,Kaliii,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,1,0,Area Codes,33,Area Codes,33,18,18,,0,,0,0,0
kalin and myles,Kalin And Myles,0,0,2014,2015,2014-2015,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Chase Dreams (EP),75,Chase Dreams (EP),75,1,2
kalin twins,Kalin Twins,1958,1958,0,0,1958-1958,1,2,0,0,0,1,0,2,0,2,0,When,5,When,5,9,24,,0,,0,0,0
kalmi,Kalmi,2024,2024,0,0,2024-2024,1,1,0,0,0,0,0,0,0,1,0,Big Dawgs,23,Big Dawgs,23,13,13,,0,,0,0,0
kalyan,Kalyan,0,0,1977,1977,1977-1977,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Kalyan,173,Kalyan,173,4,4
kam,Kam,0,0,1993,1995,1993-1995,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Neva Again,110,Neva Again,110,7,8
kamasi washington,Kamasi Washington,0,0,2018,2018,2018-2018,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Heaven And Earth,115,Heaven And Earth,115,1,1
kamelot,Kamelot,0,0,2010,2018,2010-2018,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,Poetry For The Poisoned,74,Poetry For The Poisoned,74,1,4
kameron marlowe,Kameron Marlowe,0,0,2022,2022,2022-2022,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,We Were Cowboys,193,We Were Cowboys,193,1,1
kandi,JT Money & Kandi,1999,2000,2000,2011,1999-2011,4,2,3,0,0,0,0,0,0,2,0,"4, 5, 6",21,"4, 5, 6",21,16,40,Hey Kandi...,72,Hey Kandi...,72,8,16
kane & abel,Kane & Abel,0,0,1996,2000,1996-2000,4,0,4,0,0,0,1,0,1,0,1,,0,,0,0,0,Am I My Brothers Keeper,5,The 7 Sins,179,1,22
kane brown,Kane Brown,2015,2025,2015,2025,2015-2025,11,27,7,0,1,0,5,4,6,15,7,Thank God,13,Used To Love You Sober,82,1,390,Experiment,1,Closer (EP),40,3,432
kane roberts,Kane Roberts,1991,1991,0,0,1991-1991,1,1,0,0,0,0,0,0,0,1,0,Does Anybody Really Fall In Love Anymore?,38,Does Anybody Really Fall In Love Anymore?,38,13,13,,0,,0,0,0
kanii,Kanii,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,0,0,I Know,90,I Know,90,2,2,,0,,0,0,0
kano,Kano,1981,1981,1982,1982,1981-1982,2,1,1,0,0,0,0,0,0,0,0,Can't Hold Back (Your Loving),89,Can't Hold Back (Your Loving),89,5,5,New York Cake,189,New York Cake,189,4,4
kansas,Kansas,1976,1987,1974,2016,1974-2016,15,14,15,0,0,1,3,4,4,7,9,Dust In The Wind,6,Carry On Wayward Son,11,20,151,Point Of Know Return,4,Kansas,174,10,283
kany garcia,Kany Garcia,0,0,2009,2009,2009-2009,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Boleto De Entrada,193,Boleto De Entrada,193,1,1
kanye west,Kanye West & Jamie Foxx,2003,2022,2004,2021,2003-2022,20,131,10,4,9,19,10,41,10,82,10,Slow Jamz,1,Slow Jamz,1,22,1071,Late Registration,1,The College Dropout,2,157,1309
kanye west jay z,Kanye West Jay Z,2011,2011,0,0,2011-2011,1,1,0,0,0,0,0,0,0,1,0,H*A*M,23,H*A*M,23,7,7,,0,,0,0,0
kaoma,Kaoma,1990,1990,1990,1990,1990-1990,1,1,1,0,0,0,0,0,0,1,1,Lambada,46,Lambada,46,12,12,World Beat,40,World Beat,40,21,21
kardinal offishall,Kardinal Offishall,2008,2008,2008,2008,2008-2008,1,2,1,0,0,1,0,2,0,2,1,Dangerous,5,Dangerous,5,27,49,Not 4 Sale,40,Not 4 Sale,40,2,2
karen clark-sheard,Karen Clark-Sheard,0,0,2002,2015,2002-2015,5,0,5,0,0,0,0,0,1,0,1,,0,,0,0,0,Destined To Win,20,2nd Chance,82,6,12
karen fairchild,Karen Fairchild,2015,2015,0,0,2015-2015,1,1,0,0,0,0,0,0,0,1,0,Home Alone Tonight,38,Home Alone Tonight,38,19,19,,0,,0,0,0
karen kamon,Karen Kamon,1984,1984,0,0,1984-1984,1,1,0,0,0,0,0,0,0,0,0,Loverboy,88,Loverboy,88,2,2,,0,,0,0,0
karen nelson and billy t,Karen Nelson And Billy T,1977,1977,0,0,1977-1977,1,1,0,0,0,0,0,0,0,0,0,Love Me One More Time (Just For Old Times Sake),79,Love Me One More Time (Just For Old Times Sake),79,4,4,,0,,0,0,0
karen o,Karen O,2005,2005,2009,2014,2005-2014,3,1,2,0,0,0,0,0,0,0,2,Hello Tomorrow,85,Hello Tomorrow,85,1,1,Where The Wild Things Are (Soundtrack),35,Where The Wild Things Are (Soundtrack),35,7,9
karen young,Karen Young,1978,1978,0,0,1978-1978,1,1,0,0,0,0,0,0,0,0,0,Hot Shot,67,Hot Shot,67,13,13,,0,,0,0,0
kari jobe,Kari Jobe,0,0,2009,2017,2009-2017,4,0,4,0,0,0,1,0,2,0,3,,0,,0,0,0,Where I Find You,10,Kari Jobe,63,12,39
"kari jobe, shane & shane & jeremy riddle","Kari Jobe, Shane & Shane & Jeremy Riddle",0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Sing Along 3,104,Sing Along 3,104,1,1
karina,Karina,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,First Love,57,First Love,57,2,2
"karl hammel, jr.","Karl Hammel, Jr.",1961,1961,0,0,1961-1961,1,1,0,0,0,0,0,0,0,0,0,Summer Souvenirs,68,Summer Souvenirs,68,8,8,,0,,0,0,0
karla bonoff,Karla Bonoff,1978,1982,1977,1982,1977-1982,5,4,3,0,0,0,0,1,0,1,2,Personally,19,I Can't Hold On,76,4,36,Restless Nights,31,Karla Bonoff,52,40,101
karmin,Karmin,2012,2013,2012,2014,2012-2014,3,3,2,0,0,0,0,1,1,1,2,Brokenhearted,16,Brokenhearted,16,22,38,Hello (EP),18,Hello (EP),18,5,7
karol g,Karol G,2019,2025,2017,2025,2017-2025,8,29,6,0,1,0,3,1,4,9,4,MAMIII,15,Tusa,42,21,205,Manana Sera Bonito,1,Unstoppable,192,1,231
karol g x maldy,Karol G x Maldy,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,1,0,Gatubela,37,Gatubela,37,11,11,,0,,0,0,0
karol g x romeo santos,Karol G x Romeo Santos,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,1,0,X Si Volvemos,48,X Si Volvemos,48,6,6,,0,,0,0,0
karol g x shakira,Karol G x Shakira,2023,2023,0,0,2023-2023,1,1,0,0,0,1,0,1,0,1,0,TQG,7,TQG,7,20,20,,0,,0,0,0
"karol g, feid & dfzm","Karol G, Feid & DFZM",2024,2024,0,0,2024-2024,1,1,0,0,0,0,0,0,0,0,0,+57,62,+57,62,1,1,,0,,0,0,0
karyn white,Karyn White,1986,1995,1988,1994,1986-1995,6,8,3,1,0,4,0,5,1,6,1,Romantic,1,Facts Of Love,27,16,132,Karyn White,19,Karyn White,19,54,85
kasabian,Kasabian,0,0,2005,2009,2005-2009,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Kasabian,94,Kasabian,94,2,4
kasenetz-katz singing orchestral circus,Kasenetz-Katz Singing Orchestral Circus,1968,1968,0,0,1968-1968,1,1,0,0,0,0,0,0,0,1,0,Quick Joey Small (Run Joey Run),25,Quick Joey Small (Run Joey Run),25,11,11,,0,,0,0,0
kasey chambers,Kasey Chambers,0,0,2002,2002,2002-2002,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Barricades & Brickwalls,104,Barricades & Brickwalls,104,4,4
kash doll,Kash Doll,0,0,2019,2019,2019-2019,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Stacked,76,Stacked,76,1,1
kashif,Kashif,1987,1987,1983,1987,1983-1987,4,1,4,0,0,0,0,0,0,0,0,Reservations For Two,62,Reservations For Two,62,7,7,Send Me Your Love,51,Kashif,54,33,87
kasim sulton,Kasim Sulton,0,0,1982,1982,1982-1982,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Kasim,197,Kasim,197,2,2
kaskade,Kaskade,2011,2011,2010,2015,2010-2015,4,1,5,0,0,0,0,0,2,0,3,Lessons In Love,94,Lessons In Love,94,1,1,Atmosphere,16,Dynasty,104,1,10
kat dahlia,Kat Dahlia,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,My Garden,54,My Garden,54,1,1
kat deluna,Kat DeLuna,2007,2007,2007,2007,2007-2007,1,1,1,0,0,0,0,0,0,1,0,Whine Up,29,Whine Up,29,20,20,9 Lives,58,9 Lives,58,4,4
kat edmonson,Kat Edmonson,0,0,2012,2014,2012-2014,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,The Big Picture,116,Way Down Low,153,1,2
katalina,Katalina,1996,1996,0,0,1996-1996,1,1,0,0,0,0,0,0,0,0,0,DJ Girl,86,DJ Girl,86,11,11,,0,,0,0,0
katatonia,Katatonia,0,0,2012,2016,2012-2016,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Dead End Kings,138,Dead End Kings,138,1,2
kate bush,Kate Bush,1979,2022,1982,2016,1979-2022,11,4,9,0,0,1,0,1,1,2,4,Running Up That Hill (A Deal With God),3,The Man With The Child In His Eyes,85,4,71,Hounds Of Love,12,The Dreaming,157,11,132
kate earl,Kate Earl,0,0,2009,2009,2009-2009,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Kate Earl,69,Kate Earl,69,1,1
kate nash,Kate Nash,0,0,2008,2010,2008-2010,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,Made Of Bricks,36,Made Of Bricks,36,13,15
kate pierson,Kate Pierson,1990,1990,0,0,1990-1990,1,1,0,0,0,0,0,0,0,1,0,Candy,28,Candy,28,15,15,,0,,0,0,0
kate taylor,Kate Taylor,1977,1977,1971,1971,1971-1977,2,1,1,0,0,0,0,0,0,1,0,It's In His Kiss (The Shoop Shoop Song),49,It's In His Kiss (The Shoop Shoop Song),49,7,7,Sister Kate,88,Sister Kate,88,8,8
kate voegele,Kate Voegele,2008,2008,2008,2011,2008-2011,3,2,3,0,0,0,1,0,1,0,2,Hallelujah,68,Hallelujah,68,1,2,A Fine Mess,10,Don't Look Away,27,19,27
katelyn brown,Katelyn Brown,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,1,0,1,0,Thank God,13,Thank God,13,42,42,,0,,0,0,0
katfish,Katfish,1975,1975,0,0,1975-1975,1,1,0,0,0,0,0,0,0,0,0,Dear Prudence,62,Dear Prudence,62,6,6,,0,,0,0,0
katharine mcphee,Katharine McPhee,2006,2007,2007,2010,2006-2010,3,3,2,0,0,0,1,1,1,2,2,Somewhere Over The Rainbow,12,Somewhere Over The Rainbow,12,4,22,Katharine McPhee,2,Katharine McPhee,2,17,19
katherine jenkins,Katherine Jenkins,0,0,2012,2012,2012-2012,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,This Is Christmas,110,This Is Christmas,110,6,6
kathi macdonald,Kathi MacDonald,1979,1979,0,0,1979-1979,1,1,0,0,0,0,0,0,0,0,0,You've Lost That Lovin' Feelin',89,You've Lost That Lovin' Feelin',89,3,3,,0,,0,0,0
kathi mcdonald,Kathi McDonald,0,0,1974,1974,1974-1974,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Insane Asylum,156,Insane Asylum,156,11,11
kathie lee gifford,Kathie Lee Gifford,0,0,1993,2000,1993-2000,2,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,Sentimental,108,Sentimental,108,3,11
kathleen battle,Kathleen Battle,0,0,1991,1991,1991-1991,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Spirituals In Concert,186,Spirituals In Concert,186,2,2
kathleen edwards,Kathleen Edwards,0,0,2005,2020,2005-2020,4,0,4,0,0,0,0,0,0,0,1,,0,,0,0,0,Voyageur,39,Back To Me,173,1,5
kathleen madigan,Kathleen Madigan,0,0,2018,2018,2018-2018,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Bothering Jesus,138,Bothering Jesus,138,1,1
kathy dalton,Kathy Dalton,1974,1974,1974,1974,1974-1974,1,1,1,0,0,0,0,0,0,0,0,Boogie Bands And One Night Stands,72,Boogie Bands And One Night Stands,72,5,5,Boogie Bands & One Night Stands,190,Boogie Bands & One Night Stands,190,3,3
kathy griffin,Kathy Griffin,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,For Your Consideration,85,For Your Consideration,85,2,2
kathy kirby,Kathy Kirby,1965,1965,0,0,1965-1965,1,1,0,0,0,0,0,0,0,0,0,The Way Of Love,88,The Way Of Love,88,3,3,,0,,0,0,0
