title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized,label,first_year_top_10_songs,first_top_10_hit,precedes_first_top_10_hit,tags,genre_tags_musicbrainz,top_10_1hit_wonder_song,top_10_hitmaker_song,musicbrainz_artist_id
The Worryin' Kind,The Raiders,69,9,1958,Tommy Sands And The Raiders,the raiders,,,1971,False,True,,,True,False,907115
Count Every Star,The Rivieras,73,4,1958,,the rivieras,,,1964,False,True,,,True,False,758097
Just Married,Marty Robbins,76,1,1958,,marty robbins,,Fontana,1959,False,True,,,False,True,1745
Almost In Your Arms,Johnny Nash,78,4,1958,,johnny nash,,ABC-Paramount,1968,False,True,,,False,True,14916
Rockhouse (Part 2),Ray Charles and his Orchestra,79,2,1958,,ray charles,ray charles and his orchestra,,1959,False,True,jazz,jazz,False,True,705817
Rockhouse (Part 2),Ray Charles and his Orchestra,79,2,1958,,his orchestra,ray charles and his orchestra,,1959,False,True,jazz,jazz,False,True,2915183
Just Young,Paul Anka,80,5,1958,,paul anka,,ABC-Paramount,1959,False,True,"pop, vocal, rock & roll",pop,False,True,11617
Looking Back,Nat King Cole,81,1,1958,,nat king cole,,"Capitol Records, Collectors’ Choice Music, EMI",1960,False,True,,,False,True,14410
Week End,The Kingsmen,84,3,1958,,the kingsmen,,EastWest,1963,False,True,rockabilly,rockabilly,False,True,2121887
Moonlight Bay,The Drifters,86,1,1958,,the drifters,,Atlantic,1959,False,True,,,False,True,728327
Well I'm Your Man,Johnny Tillotson,87,3,1958,,johnny tillotson,,,1960,False,True,,,False,True,42228
The Voice In My Heart,Eydie Gorme,88,1,1958,,eydie gorme,,,1963,False,True,,,True,False,
Billy Bayou,Jim Reeves,95,1,1958,,jim reeves,,RCA Italiana,1959,False,True,,,True,False,963187
Many A Time,Steve Lawrence,97,2,1958,,steve lawrence,,,1959,False,True,early pop,,False,True,1014543
Nothing In The World,Nat King Cole,99,1,1958,,nat king cole,,Capitol Records,1960,False,True,,,False,True,14410
Going To Chicago Blues,His Orch.,100,1,1958,Count Basie & His Orch.,his orch.,,,1961,False,True,,,True,False,
Come Softly To Me,The Fleetwoods,1,16,1959,,the fleetwoods,,"Dolphin, EMI Records USA",1959,True,False,,,False,True,39988
El Paso,Marty Robbins,1,22,1959,,marty robbins,,"CBS, Columbia, Jasmine Records",1959,True,False,,,False,True,1745
Heartaches By The Number,Guy Mitchell,1,20,1959,,guy mitchell,,"Bear Family Records, Columbia, Hughes Leisure Group",1959,True,False,,,True,False,31076
Kansas City,Wilbert Harrison,1,16,1959,,wilbert harrison,,"Bellaphon, Collectables, Fury Records",1959,True,False,,,True,False,39598
Lonely Boy,Paul Anka,1,15,1959,,paul anka,,"ABC-Paramount, Columbia, Diamond",1959,True,False,,,False,True,11617
Mr. Blue,The Fleetwoods,1,20,1959,,the fleetwoods,,"Dolton, VanMeter",1959,True,False,,,False,True,39988
Running Bear,Johnny Preston,1,27,1959,,johnny preston,,"Bear Family Records, Collectables, Mercury Records",1959,True,False,,,False,True,8593
Sleep Walk,Santo & Johnny,1,18,1959,,santo & johnny,,"Canadian-American Records, Eclipse",1959,True,False,,,True,False,144154
Teen Angel,Mark Dinning,1,18,1959,,mark dinning,,"MGM Records, Radio Archives",1959,True,False,,,True,False,53372
The Battle Of New Orleans,Johnny Horton,1,21,1959,,johnny horton,,"CBS, CBS Special Products, Columbia",1959,True,False,,,False,True,33453
The Happy Organ,"Dave ""Baby"" Cortez",1,17,1959,,"dave ""baby"" cortez",,,1959,True,False,,,True,False,
The Three Bells,The Browns,1,17,1959,,the browns,,Bear Family Records,1959,True,False,,,False,True,939137
Don't You Know,Della Reese,2,18,1959,,della reese,,RCA Victor,1959,True,False,,,True,False,36337
Handy Man,Jimmy Jones,2,18,1959,,jimmy jones,,"Cub Records, Jasmine Records, Stardust Records",1959,True,False,,,False,True,2960662
He'll Have To Go,Jim Reeves,2,23,1959,,jim reeves,,,1959,True,False,,,True,False,963187
Put Your Head On My Shoulder,Paul Anka,2,18,1959,,paul anka,,"ABC-Paramount, Green Hill, Sparton Records",1959,True,False,,,False,True,11617
Sea Of Love,Phil Phillips With The Twilights,2,18,1959,,phil phillips with the twilights,,,1959,True,False,,,True,False,
Sorry (I Ran All The Way Home),The Impalas,2,18,1959,,the impalas,,Cub Records,1959,True,False,,,True,False,77273
There Goes My Baby,The Drifters,2,19,1959,,the drifters,,"Atlantic, Flashback Records",1959,True,False,,,False,True,728327
Dedicated To The One I Love,The Shirelles,3,20,1959,,the shirelles,,Scepter,1959,True,False,,,False,True,16188
It's Just A Matter Of Time,Brook Benton,3,18,1959,,brook benton,,,1959,True,False,,,False,True,16162
Lavender-Blue,Sammy Turner,3,18,1959,,sammy turner,,,1959,True,False,,,True,False,136884
My Heart Is An Open Book,"Carl Dobkins, Jr.",3,24,1959,,"carl dobkins, jr.",,,1959,True,False,,,True,False,
Pink Shoe Laces,Dodie Stevens,3,19,1959,,dodie stevens,,"Screenland Records, South Bay",1959,True,False,,,True,False,37980
The Big Hurt,Miss Toni Fisher,3,17,1959,,miss toni fisher,,"Harkit Records, Signet Records",1959,True,False,,,True,False,114956
Tiger,Fabian,3,13,1959,,fabian,,Chancellor,1959,True,False,rock and roll,rock and roll,False,True,2973961
Way Down Yonder In New Orleans,Freddie Cannon,3,15,1959,,freddie cannon,,,1959,True,False,,,True,False,
